policy,spec_name,outcome,outcome_label,outcome_stratum,bandwidth_km,donut_km,fe,cluster,covariates,drop_spillover_pairs,beta,se,z,n,n_counties,n_pairs,n_treated_post,n_straddling_pair_years
permitless_carry,headline,county_violent_crime_rate,"County violent crime rate (per 100,000)",primary,100,0,pair_year,state,,0,-1.3073446420391088,6.4759461104720035,-0.20187701066953787,31248,1953,101,6895,405
permitless_carry,headline,county_murder_rate,"County murder rate (per 100,000)",primary,100,0,pair_year,state,,0,-1.1827690276151517,0.5472433708842923,-2.1613218003973467,31248,1953,101,6895,405
permitless_carry,headline,county_property_crime_rate,"County property crime rate (per 100,000)",primary,100,0,pair_year,state,,0,46.62966513622156,23.922365158640243,1.9492079828645175,31248,1953,101,6895,405
permitless_carry,headline,county_burglary_rate,"County burglary rate (per 100,000) [placebo]",primary,100,0,pair_year,state,,0,11.906783783819144,6.250232761143207,1.9050144592761244,31248,1953,101,6895,405
permitless_carry,headline,county_motor_vehicle_theft_rate,"County motor vehicle theft rate (per 100,000) [placebo]",primary,100,0,pair_year,state,,0,1.6395104506018332,3.517884757668922,0.4660500737062894,31248,1953,101,6895,405
permitless_carry,headline,state_firearm_suicide_rate,"State firearm suicide rate (per 100,000)",secondary,100,0,pair_year,state,,0,0.36178999002292755,0.10990745627808095,3.291769296411967,29295,1953,101,5582,373
permitless_carry,headline,state_total_suicide_rate,"State total suicide rate (per 100,000)",secondary,100,0,pair_year,state,,0,0.5409581376457561,0.16676385874445532,3.2438571625684585,29295,1953,101,5582,373
permitless_carry,headline,state_nonfirearm_suicide_rate,"State non-firearm suicide rate (per 100,000) [substitution]",secondary,100,0,pair_year,state,,0,0.1791681476228283,0.10029991580841546,1.7863240081383553,29295,1953,101,5582,373
permitless_carry,headline,state_firearm_homicide_rate,"State firearm homicide rate (per 100,000)",secondary,100,0,pair_year,state,,0,0.2836051639170153,0.13314067455795175,2.1301166218259717,29271,1953,101,5558,373
permitless_carry,bw_50km,county_violent_crime_rate,"County violent crime rate (per 100,000)",primary,50,0,pair_year,state,,0,2.7449518876080523,9.920107383075468,0.2767058643227159,14416,901,88,3107,306
permitless_carry,bw_50km,county_murder_rate,"County murder rate (per 100,000)",primary,50,0,pair_year,state,,0,-0.27535930687096966,0.41574273524220756,-0.6623310127368746,14416,901,88,3107,306
permitless_carry,bw_50km,county_property_crime_rate,"County property crime rate (per 100,000)",primary,50,0,pair_year,state,,0,14.39176933004906,25.855208867370834,0.5566293973440459,14416,901,88,3107,306
permitless_carry,bw_50km,county_burglary_rate,"County burglary rate (per 100,000) [placebo]",primary,50,0,pair_year,state,,0,-6.012223350479181,6.952261467921207,-0.8647867141102928,14416,901,88,3107,306
permitless_carry,bw_50km,county_motor_vehicle_theft_rate,"County motor vehicle theft rate (per 100,000) [placebo]",primary,50,0,pair_year,state,,0,3.6848564433753133,3.5562895432356423,1.036151977665659,14416,901,88,3107,306
permitless_carry,bw_50km,state_firearm_suicide_rate,"State firearm suicide rate (per 100,000)",secondary,50,0,pair_year,state,,0,0.426408881236009,0.11426351968950606,3.7318024369869844,13515,901,88,2521,280
permitless_carry,bw_50km,state_total_suicide_rate,"State total suicide rate (per 100,000)",secondary,50,0,pair_year,state,,0,0.6222113403603519,0.17746135227839926,3.506179415246617,13515,901,88,2521,280
permitless_carry,bw_50km,state_nonfirearm_suicide_rate,"State non-firearm suicide rate (per 100,000) [substitution]",secondary,50,0,pair_year,state,,0,0.19580245912434255,0.1097533225067053,1.7840230678427083,13515,901,88,2521,280
permitless_carry,bw_50km,state_firearm_homicide_rate,"State firearm homicide rate (per 100,000)",secondary,50,0,pair_year,state,,0,0.3264184837868168,0.1407363975307716,2.3193608015683815,13499,901,88,2505,280
permitless_carry,bw_200km,county_violent_crime_rate,"County violent crime rate (per 100,000)",primary,200,0,pair_year,state,,0,-1.2936875711766191,6.16932458359393,-0.20969679154455892,45008,2813,105,9804,435
permitless_carry,bw_200km,county_murder_rate,"County murder rate (per 100,000)",primary,200,0,pair_year,state,,0,-0.895960799129923,0.4670955312015667,-1.918153224084876,45008,2813,105,9804,435
permitless_carry,bw_200km,county_property_crime_rate,"County property crime rate (per 100,000)",primary,200,0,pair_year,state,,0,75.09135588717584,38.5806726058076,1.9463464687205125,45008,2813,105,9804,435
permitless_carry,bw_200km,county_burglary_rate,"County burglary rate (per 100,000) [placebo]",primary,200,0,pair_year,state,,0,10.112955443221491,6.9272686343245775,1.4598763202442955,45008,2813,105,9804,435
permitless_carry,bw_200km,county_motor_vehicle_theft_rate,"County motor vehicle theft rate (per 100,000) [placebo]",primary,200,0,pair_year,state,,0,3.411366850640447,3.406312938188172,1.0014836900026465,45008,2813,105,9804,435
permitless_carry,bw_200km,state_firearm_suicide_rate,"State firearm suicide rate (per 100,000)",secondary,200,0,pair_year,state,,0,0.3421404359124287,0.10636368183879213,3.2167035777398776,42195,2813,105,7925,401
permitless_carry,bw_200km,state_total_suicide_rate,"State total suicide rate (per 100,000)",secondary,200,0,pair_year,state,,0,0.5122926912627788,0.1569352008473704,3.2643580821680436,42195,2813,105,7925,401
permitless_carry,bw_200km,state_nonfirearm_suicide_rate,"State non-firearm suicide rate (per 100,000) [substitution]",secondary,200,0,pair_year,state,,0,0.17015225535034995,0.09561493258077612,1.7795573427466909,42195,2813,105,7925,401
permitless_carry,bw_200km,state_firearm_homicide_rate,"State firearm homicide rate (per 100,000)",secondary,200,0,pair_year,state,,0,0.2606342115007071,0.14577956386727264,1.7878652164030735,42171,2813,105,7901,401
permitless_carry,donut_10km,county_violent_crime_rate,"County violent crime rate (per 100,000)",primary,100,10,pair_year,state,,0,-1.3445162005450058,6.529781383426943,-0.20590523963903062,31104,1944,101,6876,405
permitless_carry,donut_10km,county_murder_rate,"County murder rate (per 100,000)",primary,100,10,pair_year,state,,0,-1.1885562289914233,0.549256121250404,-2.1639380664263266,31104,1944,101,6876,405
permitless_carry,donut_10km,county_property_crime_rate,"County property crime rate (per 100,000)",primary,100,10,pair_year,state,,0,49.30744317445844,24.19777447297221,2.0376850453554134,31104,1944,101,6876,405
