outcome,donor,weight
firearm_suicide_rate,CO,0.15298626297336734
firearm_suicide_rate,NC,0.17515290724563767
firearm_suicide_rate,OR,0.02385287984025155
firearm_suicide_rate,PA,0.3145677639503145
firearm_suicide_rate,VA,0.20261550872333264
firearm_suicide_rate,WA,0.1308246772670954
total_suicide_rate,NM,0.003578112578659184
total_suicide_rate,NV,0.05610012842097589
total_suicide_rate,OR,0.1168296764407111
total_suicide_rate,PA,0.19159493118140317
total_suicide_rate,VA,0.37929592369743814
total_suicide_rate,WA,0.2526012276808097
firearm_homicide_rate,MI,0.5896298720805926
firearm_homicide_rate,MN,0.10411186137363262
firearm_homicide_rate,NV,0.3062582665457602
homicide_rate,MI,0.5635474257119819
homicide_rate,MN,0.29624844115556465
homicide_rate,NV,0.1402041331285043
motor_vehicle_theft_rate,CO,0.04269387273237457
motor_vehicle_theft_rate,MI,0.060656863092930315
motor_vehicle_theft_rate,MN,0.1561942934117848
motor_vehicle_theft_rate,NC,0.05703844626400998
motor_vehicle_theft_rate,NM,0.08768228098607565
motor_vehicle_theft_rate,NV,0.26270739644633545
motor_vehicle_theft_rate,OR,0.0024849298941750767
motor_vehicle_theft_rate,PA,0.032787421569528435
motor_vehicle_theft_rate,VA,0.07222348828333275
motor_vehicle_theft_rate,WA,0.021944732564819904
motor_vehicle_theft_rate,WI,0.20358627475463317
