outcome,donor,weight
firearm_suicide_rate,MI,0.4662387160594767
firearm_suicide_rate,MN,0.08855803266243428
firearm_suicide_rate,NC,0.03417191958494719
firearm_suicide_rate,NV,0.005237813966840774
firearm_suicide_rate,VA,0.1528495996074225
firearm_suicide_rate,WA,0.2529439181188784
total_suicide_rate,MN,0.8841333060730953
total_suicide_rate,NC,0.05901354048490961
total_suicide_rate,VA,0.05685315344175794
firearm_homicide_rate,NC,0.5000690965256284
firearm_homicide_rate,NV,0.00617581835237767
firearm_homicide_rate,PA,0.0862007573871441
firearm_homicide_rate,VA,0.302393828453102
firearm_homicide_rate,WA,0.10516049928174771
homicide_rate,MI,0.2231805525529091
homicide_rate,MN,0.09828337934668557
homicide_rate,NC,0.05277729480985199
homicide_rate,NM,0.08855101027469992
homicide_rate,OR,0.08226470540417917
homicide_rate,PA,0.08948900598672932
homicide_rate,VA,0.3654540516249442
motor_vehicle_theft_rate,CO,0.1658136010983444
motor_vehicle_theft_rate,MI,0.5140513516909178
motor_vehicle_theft_rate,MN,0.14409926635740014
motor_vehicle_theft_rate,NV,0.1611162892663326
motor_vehicle_theft_rate,WA,0.014918291467870529
