outcome,spec,tier,att,se,z,n,n_clusters
firearm_suicide_rate,unweighted,all,0.39432562251231346,0.13898515589037405,2.83717797045421,1171,37
firearm_suicide_rate,ra,minimal,0.39827956997288166,0.1234345594146642,3.226645534780152,1171,37
firearm_suicide_rate,eb,minimal,0.39432562251231346,0.13898515589037405,2.83717797045421,1171,37
firearm_suicide_rate,eb,headline,0.39432562251231346,0.13898515589037405,2.83717797045421,1171,37
firearm_suicide_rate,eb,expanded,0.39432562251231346,0.13898515589037405,2.83717797045421,1171,37
nonfirearm_suicide_rate,unweighted,all,0.23157360758687337,0.12195740214187284,1.898807317308089,1171,37
nonfirearm_suicide_rate,ra,minimal,0.2188257096302385,0.11490351940460135,1.9044300014841458,1171,37
nonfirearm_suicide_rate,eb,minimal,0.23157360758687337,0.12195740214187284,1.898807317308089,1171,37
nonfirearm_suicide_rate,eb,headline,0.23157360758687337,0.12195740214187284,1.898807317308089,1171,37
nonfirearm_suicide_rate,eb,expanded,0.23157360758687337,0.12195740214187284,1.898807317308089,1171,37
total_suicide_rate,unweighted,all,0.6258992300991867,0.1720890260903184,3.6370664900543552,1171,37
total_suicide_rate,ra,minimal,0.6171052796031206,0.13956838998272939,4.421526104008816,1171,37
total_suicide_rate,eb,minimal,0.6258992300991867,0.1720890260903184,3.6370664900543552,1171,37
total_suicide_rate,eb,headline,0.6258992300991867,0.1720890260903184,3.6370664900543552,1171,37
total_suicide_rate,eb,expanded,0.6258992300991867,0.1720890260903184,3.6370664900543552,1171,37
firearm_homicide_rate,unweighted,all,-0.14312372479091345,0.3022427509420378,-0.47353898263836547,1170,37
firearm_homicide_rate,ra,minimal,-0.12446295737863752,0.26287757733363587,-0.4734635743415768,1170,37
firearm_homicide_rate,eb,minimal,-0.14312372479091345,0.3022427509420378,-0.47353898263836547,1170,37
firearm_homicide_rate,eb,headline,-0.14312372479091345,0.3022427509420378,-0.47353898263836547,1170,37
firearm_homicide_rate,eb,expanded,-0.14312372479091345,0.3022427509420378,-0.47353898263836547,1170,37
homicide_rate,unweighted,all,-0.46108106563804624,0.2596341711394423,-1.7758874481526254,1171,37
homicide_rate,ra,minimal,-0.3839339826009339,0.2459247880789001,-1.5611845621587213,1171,37
homicide_rate,eb,minimal,-0.46108106563804624,0.2596341711394423,-1.7758874481526254,1171,37
homicide_rate,eb,headline,-0.46108106563804624,0.2596341711394423,-1.7758874481526254,1171,37
homicide_rate,eb,expanded,-0.46108106563804624,0.2596341711394423,-1.7758874481526254,1171,37
motor_vehicle_theft_rate,unweighted,all,-57.172589867778264,23.286233914940908,-2.455209806644397,1171,37
motor_vehicle_theft_rate,ra,minimal,-49.94213384887727,20.50391162242628,-2.4357368861389723,1171,37
motor_vehicle_theft_rate,eb,minimal,-57.172589867778264,23.286233914940908,-2.455209806644397,1171,37
motor_vehicle_theft_rate,eb,headline,-57.172589867778264,23.286233914940908,-2.455209806644397,1171,37
motor_vehicle_theft_rate,eb,expanded,-57.172589867778264,23.286233914940908,-2.455209806644397,1171,37
