event_time,beta,se,z,n,omitted,outcome,spec,tier
-5,-0.47301782438166884,0.1544904454337317,-3.0617933882815342,1171,False,firearm_suicide_rate,unweighted,all
-4,-0.1020948158906034,0.20356504230332542,-0.5015341275466902,1171,False,firearm_suicide_rate,unweighted,all
-3,0.06902053608826358,0.18629716819196998,0.3704862331409211,1171,False,firearm_suicide_rate,unweighted,all
-2,-0.35750115655929005,0.12781363248320335,-2.7970502802685866,1171,False,firearm_suicide_rate,unweighted,all
-1,0.0,0.0,0.0,0,True,firearm_suicide_rate,unweighted,all
0,0.2921074016656172,0.17611326736766,1.6586337079068776,1171,False,firearm_suicide_rate,unweighted,all
1,0.42083521061060825,0.22933752241294156,1.8350037367756111,1171,False,firearm_suicide_rate,unweighted,all
2,0.4810285122841955,0.14892775859492502,3.2299452890616958,1171,False,firearm_suicide_rate,unweighted,all
3,-0.44794131985313046,0.25165273763401474,-1.779997801989277,1171,False,firearm_suicide_rate,unweighted,all
4,0.2763087573352166,0.28585264232546004,0.9666125703348329,1171,False,firearm_suicide_rate,unweighted,all
5,0.029589560790649,0.2947955755964566,0.10037315088864808,1171,False,firearm_suicide_rate,unweighted,all
-5,-0.5139638291661937,0.14007720521945,-3.6691467991597877,1171,False,firearm_suicide_rate,ra,minimal
-4,-0.12235025635095284,0.20244936613145076,-0.6043499107402025,1171,False,firearm_suicide_rate,ra,minimal
-3,0.0865478861954229,0.18711686688087698,0.4625338572525444,1171,False,firearm_suicide_rate,ra,minimal
-2,-0.3341296643511586,0.11830618133179846,-2.8242790071472865,1171,False,firearm_suicide_rate,ra,minimal
-1,0.0,0.0,0.0,0,True,firearm_suicide_rate,ra,minimal
0,0.29660922686979624,0.17024055616197561,1.7422947478366257,1171,False,firearm_suicide_rate,ra,minimal
1,0.43264240402224413,0.23048667039499682,1.8770821031897535,1171,False,firearm_suicide_rate,ra,minimal
2,0.4953238462563824,0.1605022997779374,3.0860856632066125,1171,False,firearm_suicide_rate,ra,minimal
3,-0.45256423156043757,0.2596288618957329,-1.743119883729212,1171,False,firearm_suicide_rate,ra,minimal
4,0.257621272101791,0.24696966820764552,1.0431291987046356,1171,False,firearm_suicide_rate,ra,minimal
5,-0.05314782782097347,0.2701694491934385,-0.19672034709935016,1171,False,firearm_suicide_rate,ra,minimal
-5,-0.47301782438166884,0.1544904454337317,-3.0617933882815342,1171,False,firearm_suicide_rate,eb,minimal
-4,-0.1020948158906034,0.20356504230332542,-0.5015341275466902,1171,False,firearm_suicide_rate,eb,minimal
-3,0.06902053608826358,0.18629716819196998,0.3704862331409211,1171,False,firearm_suicide_rate,eb,minimal
-2,-0.35750115655929005,0.12781363248320335,-2.7970502802685866,1171,False,firearm_suicide_rate,eb,minimal
-1,0.0,0.0,0.0,0,True,firearm_suicide_rate,eb,minimal
0,0.2921074016656172,0.17611326736766,1.6586337079068776,1171,False,firearm_suicide_rate,eb,minimal
1,0.42083521061060825,0.22933752241294156,1.8350037367756111,1171,False,firearm_suicide_rate,eb,minimal
2,0.4810285122841955,0.14892775859492502,3.2299452890616958,1171,False,firearm_suicide_rate,eb,minimal
3,-0.44794131985313046,0.25165273763401474,-1.779997801989277,1171,False,firearm_suicide_rate,eb,minimal
4,0.2763087573352166,0.28585264232546004,0.9666125703348329,1171,False,firearm_suicide_rate,eb,minimal
5,0.029589560790649,0.2947955755964566,0.10037315088864808,1171,False,firearm_suicide_rate,eb,minimal
-5,-0.47301782438166884,0.1544904454337317,-3.0617933882815342,1171,False,firearm_suicide_rate,eb,headline
-4,-0.1020948158906034,0.20356504230332542,-0.5015341275466902,1171,False,firearm_suicide_rate,eb,headline
-3,0.06902053608826358,0.18629716819196998,0.3704862331409211,1171,False,firearm_suicide_rate,eb,headline
-2,-0.35750115655929005,0.12781363248320335,-2.7970502802685866,1171,False,firearm_suicide_rate,eb,headline
-1,0.0,0.0,0.0,0,True,firearm_suicide_rate,eb,headline
0,0.2921074016656172,0.17611326736766,1.6586337079068776,1171,False,firearm_suicide_rate,eb,headline
1,0.42083521061060825,0.22933752241294156,1.8350037367756111,1171,False,firearm_suicide_rate,eb,headline
2,0.4810285122841955,0.14892775859492502,3.2299452890616958,1171,False,firearm_suicide_rate,eb,headline
3,-0.44794131985313046,0.25165273763401474,-1.779997801989277,1171,False,firearm_suicide_rate,eb,headline
4,0.2763087573352166,0.28585264232546004,0.9666125703348329,1171,False,firearm_suicide_rate,eb,headline
5,0.029589560790649,0.2947955755964566,0.10037315088864808,1171,False,firearm_suicide_rate,eb,headline
-5,-0.47301782438166884,0.1544904454337317,-3.0617933882815342,1171,False,firearm_suicide_rate,eb,expanded
-4,-0.1020948158906034,0.20356504230332542,-0.5015341275466902,1171,False,firearm_suicide_rate,eb,expanded
-3,0.06902053608826358,0.18629716819196998,0.3704862331409211,1171,False,firearm_suicide_rate,eb,expanded
-2,-0.35750115655929005,0.12781363248320335,-2.7970502802685866,1171,False,firearm_suicide_rate,eb,expanded
-1,0.0,0.0,0.0,0,True,firearm_suicide_rate,eb,expanded
0,0.2921074016656172,0.17611326736766,1.6586337079068776,1171,False,firearm_suicide_rate,eb,expanded
1,0.42083521061060825,0.22933752241294156,1.8350037367756111,1171,False,firearm_suicide_rate,eb,expanded
2,0.4810285122841955,0.14892775859492502,3.2299452890616958,1171,False,firearm_suicide_rate,eb,expanded
3,-0.44794131985313046,0.25165273763401474,-1.779997801989277,1171,False,firearm_suicide_rate,eb,expanded
4,0.2763087573352166,0.28585264232546004,0.9666125703348329,1171,False,firearm_suicide_rate,eb,expanded
5,0.029589560790649,0.2947955755964566,0.10037315088864808,1171,False,firearm_suicide_rate,eb,expanded
-5,-0.25323483954556064,0.1929958690537958,-1.312125698788785,1171,False,nonfirearm_suicide_rate,unweighted,all
-4,0.03819923037280005,0.15211194255565622,0.2511257809939764,1171,False,nonfirearm_suicide_rate,unweighted,all
-3,-0.25217025353478517,0.14259187523539654,-1.7684756099777224,1171,False,nonfirearm_suicide_rate,unweighted,all
-2,-0.1225564863815004,0.18655078278799428,-0.6569604509286878,1171,False,nonfirearm_suicide_rate,unweighted,all
-1,0.0,0.0,0.0,0,True,nonfirearm_suicide_rate,unweighted,all
0,-0.027956671184638925,0.10498421131228092,-0.26629405350753527,1171,False,nonfirearm_suicide_rate,unweighted,all
1,0.5397821549884105,0.21615572080140383,2.497191159165957,1171,False,nonfirearm_suicide_rate,unweighted,all
2,-0.011786114455321694,0.1716462420336236,-0.06866514708206034,1171,False,nonfirearm_suicide_rate,unweighted,all
3,-0.08122670243772696,0.20182579908041656,-0.40245946161403556,1171,False,nonfirearm_suicide_rate,unweighted,all
4,0.2177587697665473,0.20079101702222565,1.0845045410694019,1171,False,nonfirearm_suicide_rate,unweighted,all
5,0.09329964126688832,0.2903968808401455,0.3212832073022399,1171,False,nonfirearm_suicide_rate,unweighted,all
-5,-0.2243258553387031,0.18171455864560906,-1.234495777392263,1171,False,nonfirearm_suicide_rate,ra,minimal
-4,0.08021150131210947,0.15184296177037884,0.5282530080874446,1171,False,nonfirearm_suicide_rate,ra,minimal
-3,-0.24465481407209386,0.14209025109404394,-1.7218268824802518,1171,False,nonfirearm_suicide_rate,ra,minimal
-2,-0.1316762592009466,0.1931838260025966,-0.6816111986475345,1171,False,nonfirearm_suicide_rate,ra,minimal
-1,0.0,0.0,0.0,0,True,nonfirearm_suicide_rate,ra,minimal
0,-0.024887010044517946,0.1047351143212145,-0.23761858862531443,1171,False,nonfirearm_suicide_rate,ra,minimal
1,0.5136484672540995,0.21533789996172387,2.3853138130603115,1171,False,nonfirearm_suicide_rate,ra,minimal
2,-0.02583910403781515,0.1704941623975975,-0.15155418622226832,1171,False,nonfirearm_suicide_rate,ra,minimal
3,-0.09293837217882323,0.19157092426933128,-0.48513819376974104,1171,False,nonfirearm_suicide_rate,ra,minimal
4,0.2174914077592989,0.1967684940097642,1.1053162187057566,1171,False,nonfirearm_suicide_rate,ra,minimal
5,0.0678018138588981,0.27680114077249357,0.2449477399900793,1171,False,nonfirearm_suicide_rate,ra,minimal
-5,-0.25323483954556064,0.1929958690537958,-1.312125698788785,1171,False,nonfirearm_suicide_rate,eb,minimal
-4,0.03819923037280005,0.15211194255565622,0.2511257809939764,1171,False,nonfirearm_suicide_rate,eb,minimal
-3,-0.25217025353478517,0.14259187523539654,-1.7684756099777224,1171,False,nonfirearm_suicide_rate,eb,minimal
-2,-0.1225564863815004,0.18655078278799428,-0.6569604509286878,1171,False,nonfirearm_suicide_rate,eb,minimal
-1,0.0,0.0,0.0,0,True,nonfirearm_suicide_rate,eb,minimal
0,-0.027956671184638925,0.10498421131228092,-0.26629405350753527,1171,False,nonfirearm_suicide_rate,eb,minimal
1,0.5397821549884105,0.21615572080140383,2.497191159165957,1171,False,nonfirearm_suicide_rate,eb,minimal
2,-0.011786114455321694,0.1716462420336236,-0.06866514708206034,1171,False,nonfirearm_suicide_rate,eb,minimal
3,-0.08122670243772696,0.20182579908041656,-0.40245946161403556,1171,False,nonfirearm_suicide_rate,eb,minimal
4,0.2177587697665473,0.20079101702222565,1.0845045410694019,1171,False,nonfirearm_suicide_rate,eb,minimal
5,0.09329964126688832,0.2903968808401455,0.3212832073022399,1171,False,nonfirearm_suicide_rate,eb,minimal
-5,-0.25323483954556064,0.1929958690537958,-1.312125698788785,1171,False,nonfirearm_suicide_rate,eb,headline
-4,0.03819923037280005,0.15211194255565622,0.2511257809939764,1171,False,nonfirearm_suicide_rate,eb,headline
-3,-0.25217025353478517,0.14259187523539654,-1.7684756099777224,1171,False,nonfirearm_suicide_rate,eb,headline
-2,-0.1225564863815004,0.18655078278799428,-0.6569604509286878,1171,False,nonfirearm_suicide_rate,eb,headline
-1,0.0,0.0,0.0,0,True,nonfirearm_suicide_rate,eb,headline
0,-0.027956671184638925,0.10498421131228092,-0.26629405350753527,1171,False,nonfirearm_suicide_rate,eb,headline
1,0.5397821549884105,0.21615572080140383,2.497191159165957,1171,False,nonfirearm_suicide_rate,eb,headline
2,-0.011786114455321694,0.1716462420336236,-0.06866514708206034,1171,False,nonfirearm_suicide_rate,eb,headline
3,-0.08122670243772696,0.20182579908041656,-0.40245946161403556,1171,False,nonfirearm_suicide_rate,eb,headline
4,0.2177587697665473,0.20079101702222565,1.0845045410694019,1171,False,nonfirearm_suicide_rate,eb,headline
5,0.09329964126688832,0.2903968808401455,0.3212832073022399,1171,False,nonfirearm_suicide_rate,eb,headline
-5,-0.25323483954556064,0.1929958690537958,-1.312125698788785,1171,False,nonfirearm_suicide_rate,eb,expanded
-4,0.03819923037280005,0.15211194255565622,0.2511257809939764,1171,False,nonfirearm_suicide_rate,eb,expanded
-3,-0.25217025353478517,0.14259187523539654,-1.7684756099777224,1171,False,nonfirearm_suicide_rate,eb,expanded
-2,-0.1225564863815004,0.18655078278799428,-0.6569604509286878,1171,False,nonfirearm_suicide_rate,eb,expanded
-1,0.0,0.0,0.0,0,True,nonfirearm_suicide_rate,eb,expanded
0,-0.027956671184638925,0.10498421131228092,-0.26629405350753527,1171,False,nonfirearm_suicide_rate,eb,expanded
1,0.5397821549884105,0.21615572080140383,2.497191159165957,1171,False,nonfirearm_suicide_rate,eb,expanded
