term,coefficient,std_error,t_stat,p_value_normal,ci95_low,ci95_high,nobs,clusters,rank,sample,outcome,controls_spec,controls,model
post,0.3835906058644767,0.12286180508570987,3.122130637726503,0.0017954724728668212,0.14278146789648533,0.624399743832468,4446,40,717,main,firearm_suicide_rate,no_controls,,average_post
post,0.1861262142543838,0.11885199253448454,1.5660336043619953,0.11734075028570887,-0.04682369111320589,0.4190761196219735,4446,40,717,main,nonfirearm_suicide_rate,no_controls,,average_post
post,0.5697168201188276,0.1586446115536479,3.591151407787777,0.0003292203005841246,0.25877338147367773,0.8806602587639776,4446,40,717,main,total_suicide_rate,no_controls,,average_post
post,0.00042433767449368,0.004927843683657192,0.08611021406806443,0.9313788041339325,-0.009234235945474416,0.010082911294461776,4446,40,717,main,firearm_suicide_share,no_controls,,average_post
post,0.02170970801764316,0.012136924157570565,1.7887322797598142,0.0736579417323789,-0.0020786633311951457,0.04549807936648147,4446,40,717,main,ln_firearm_suicide_rate,no_controls,,average_post
post,0.01917529481764063,0.015819845619618432,1.2121037890446325,0.22547265351058232,-0.011831602596811496,0.05018219223209276,4446,40,717,main,ln_nonfirearm_suicide_rate,no_controls,,average_post
post,0.022696715232230602,0.00888493483228618,2.5545167928249755,0.010633530032024604,0.005282242960949691,0.04011118750351152,4446,40,717,main,ln_total_suicide_rate,no_controls,,average_post
post,0.002661585802388622,0.020454323305407366,0.1301233857824569,0.8964688082406777,-0.037428887876209814,0.04275205948098706,4446,40,717,main,logit_firearm_suicide_share,no_controls,,average_post
post,0.40674469045007366,0.12118706464089964,3.3563375072689126,0.0007898211810838731,0.1692180437539104,0.644271337146237,4446,40,722,main,firearm_suicide_rate,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post
post,0.20412695877993448,0.11311924885394717,1.8045289448791428,0.07114842579329587,-0.01758676897380196,0.4258406865336709,4446,40,722,main,nonfirearm_suicide_rate,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post
post,0.610871649230007,0.1573098545637145,3.8832382810613337,0.00010307446836411943,0.3025443342851266,0.9191989641748874,4446,40,722,main,total_suicide_rate,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post
post,0.00035505072292531335,0.004579568542303612,0.07752929553200136,0.938202486940076,-0.008620903619989767,0.009331005065840392,4446,40,722,main,firearm_suicide_share,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post
post,0.023393772971642374,0.011332137768170264,2.0643742116647097,0.038982249624170684,0.001182782946028655,0.04560476299725609,4446,40,722,main,ln_firearm_suicide_rate,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post
post,0.02157495816986017,0.015356294626571936,1.4049585980544876,0.1600335900099269,-0.008523379298220824,0.051673295637941166,4446,40,722,main,ln_nonfirearm_suicide_rate,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post
post,0.0240089825760243,0.008818937277475354,2.7224348944340697,0.006480280076494195,0.006723865512172605,0.04129409963987599,4446,40,722,main,ln_total_suicide_rate,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post
post,0.0019438780720382244,0.019030111042748765,0.10214748971624733,0.9186396067790427,-0.03535513957174936,0.03924289571582581,4446,40,722,main,logit_firearm_suicide_share,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post
post,0.42773059270252123,0.13027576057250767,3.2832707391062126,0.0010261006821029423,0.17239010198040622,0.6830710834246363,4446,40,723,main,firearm_suicide_rate,core_plus_alcohol,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate;per_capita_alcohol_ethanol_14plus,average_post
post,0.21936299723632874,0.12251452206702146,1.7905060847915353,0.07337258993923564,-0.020765466015033318,0.4594914604876908,4446,40,723,main,nonfirearm_suicide_rate,core_plus_alcohol,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate;per_capita_alcohol_ethanol_14plus,average_post
post,0.6470935899388615,0.17729287745014619,3.6498566622949684,0.00026238668488367286,0.29959955013657497,0.994587629741148,4446,40,723,main,total_suicide_rate,core_plus_alcohol,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate;per_capita_alcohol_ethanol_14plus,average_post
post,0.0004629479560767708,0.004685345763885788,0.09880763969334577,0.921291002581994,-0.008720329741139373,0.009646225653292916,4446,40,723,main,firearm_suicide_share,core_plus_alcohol,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate;per_capita_alcohol_ethanol_14plus,average_post
post,0.02515891428577255,0.01178170073595824,2.1354229622372345,0.03272647670193744,0.0020667808432944003,0.0482510477282507,4446,40,723,main,ln_firearm_suicide_rate,core_plus_alcohol,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate;per_capita_alcohol_ethanol_14plus,average_post
post,0.022804331508112275,0.016636206475100255,1.370765116569332,0.17044818847739684,-0.009802633183084223,0.05541129619930878,4446,40,723,main,ln_nonfirearm_suicide_rate,core_plus_alcohol,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate;per_capita_alcohol_ethanol_14plus,average_post
post,0.026029040115146885,0.009925352713240694,2.6224801140239005,0.008729236190128525,0.006575348797195124,0.045482731433098646,4446,40,723,main,ln_total_suicide_rate,core_plus_alcohol,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate;per_capita_alcohol_ethanol_14plus,average_post
post,0.002484252453871806,0.019364636268857465,0.1282881030854694,0.8979209796720272,-0.035470434633088826,0.04043893954083244,4446,40,723,main,logit_firearm_suicide_share,core_plus_alcohol,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate;per_capita_alcohol_ethanol_14plus,average_post
