term,coefficient,std_error,t_stat,p_value_normal,ci95_low,ci95_high,nobs,clusters,rank,sample,outcome,controls_spec,event_time,omitted_event_time,model
event_-5,-0.4906171417891174,0.16749551051231704,-2.9291360722951385,0.0033990558627896945,-0.8189083423932588,-0.162325941184976,4446,40,729,main,firearm_suicide_rate,core_controls,-5,-1,event_study
event_-4,-0.2934644077295191,0.3119828970865168,-0.9406426136498686,0.3468880363264749,-0.904950886019092,0.3180220705600538,4446,40,729,main,firearm_suicide_rate,core_controls,-4,-1,event_study
event_-3,0.08143972850882575,0.24282091296752742,0.3353900926964916,0.7373308405046934,-0.394489260907528,0.5573687179251795,4446,40,729,main,firearm_suicide_rate,core_controls,-3,-1,event_study
event_-2,-0.433372109476136,0.2160110744519061,-2.006249497048932,0.04482963532555045,-0.8567538154018719,-0.009990403550400095,4446,40,729,main,firearm_suicide_rate,core_controls,-2,-1,event_study
event_0,0.1803686574102351,0.20208189554915199,0.8925522839148369,0.37209698179720696,-0.21571185786610275,0.576449172686573,4446,40,729,main,firearm_suicide_rate,core_controls,0,-1,event_study
event_1,0.3774064737945513,0.2152044732527573,1.7537111013082336,0.07948002236548041,-0.04439429378085302,0.7992072413699556,4446,40,729,main,firearm_suicide_rate,core_controls,1,-1,event_study
event_2,0.38441112036446334,0.18944487766734822,2.029144968698821,0.042443526798863894,0.013099160136460841,0.7557230805924658,4446,40,729,main,firearm_suicide_rate,core_controls,2,-1,event_study
event_3,-0.45983552912588976,0.3052821599381658,-1.506264005793946,0.1319994142879829,-1.0581885626046947,0.1385175043529152,4446,40,729,main,firearm_suicide_rate,core_controls,3,-1,event_study
event_-5,-0.2228844448647277,0.16758794856261197,-1.3299550879188462,0.1835330693494509,-0.5513568240474471,0.10558793431799174,4446,40,729,main,nonfirearm_suicide_rate,core_controls,-5,-1,event_study
event_-4,-0.030236590443835504,0.2310610215726446,-0.130859762663731,0.8958862456367083,-0.483116192726219,0.4226430118385479,4446,40,729,main,nonfirearm_suicide_rate,core_controls,-4,-1,event_study
event_-3,-0.22493583793803995,0.15259168280657417,-1.4741028724558305,0.14045389525604918,-0.5240155362389254,0.07414386036284543,4446,40,729,main,nonfirearm_suicide_rate,core_controls,-3,-1,event_study
event_-2,-0.13907570918102352,0.2297328365785166,-0.6053801940215505,0.5449264079108366,-0.5893520688749161,0.311200650512869,4446,40,729,main,nonfirearm_suicide_rate,core_controls,-2,-1,event_study
event_0,-0.06551953861208071,0.11713360315536583,-0.5593573222978182,0.5759178816085686,-0.29510140079659775,0.16406232357243633,4446,40,729,main,nonfirearm_suicide_rate,core_controls,0,-1,event_study
event_1,0.4968860207832382,0.23709831299491924,2.0956961460703685,0.036109153961541886,0.0321733273131965,0.9615987142532798,4446,40,729,main,nonfirearm_suicide_rate,core_controls,1,-1,event_study
event_2,-0.0800232312380098,0.25197601122750096,-0.3175827367382184,0.7508014707982154,-0.5738962132439116,0.41384975076789204,4446,40,729,main,nonfirearm_suicide_rate,core_controls,2,-1,event_study
event_3,-0.10111166743625244,0.28183927129670305,-0.3587564890125205,0.7197772653942777,-0.6535166391777905,0.4512933043052856,4446,40,729,main,nonfirearm_suicide_rate,core_controls,3,-1,event_study
event_-5,-0.7135015866538673,0.2642142244638881,-2.7004662148740075,0.006924236929895623,-1.2313614666030879,-0.19564170670464665,4446,40,729,main,total_suicide_rate,core_controls,-5,-1,event_study
event_-4,-0.32370099817334896,0.3867392565901908,-0.8370006216264709,0.4025922186226718,-1.081709941090123,0.43430794474342505,4446,40,729,main,total_suicide_rate,core_controls,-4,-1,event_study
event_-3,-0.14349610942920643,0.2884631086933136,-0.4974504714977877,0.6188714213912383,-0.7088838024681011,0.42189158360968826,4446,40,729,main,total_suicide_rate,core_controls,-3,-1,event_study
event_-2,-0.5724478186571524,0.30317648684364584,-1.8881669374062482,0.05900354289687452,-1.1666737328706982,0.02177809555639343,4446,40,729,main,total_suicide_rate,core_controls,-2,-1,event_study
event_0,0.11484911879814963,0.20938735395483163,0.5485007409899478,0.5833481206107627,-0.29555009495332035,0.5252483325496196,4446,40,729,main,total_suicide_rate,core_controls,0,-1,event_study
event_1,0.8742924945778014,0.3581455239418869,2.4411654931632345,0.014639944115292345,0.17232726765170314,1.5762577215038998,4446,40,729,main,total_suicide_rate,core_controls,1,-1,event_study
event_2,0.30438788912645487,0.3525253408201475,0.8634496697976343,0.38789028032333606,-0.38656177888103427,0.995337557133944,4446,40,729,main,total_suicide_rate,core_controls,2,-1,event_study
event_3,-0.5609471965621338,0.45393178209171153,-1.2357521960178612,0.21655068917052456,-1.4506534894618883,0.3287590963376208,4446,40,729,main,total_suicide_rate,core_controls,3,-1,event_study
event_-5,-0.0037931425136756096,0.0058024636160437905,-0.6537124167720043,0.5132971020656589,-0.01516597120112144,0.007579686173770219,4446,40,729,main,firearm_suicide_share,core_controls,-5,-1,event_study
event_-4,-0.006589793021140761,0.009746719339644671,-0.6761037013076648,0.49897480685029216,-0.025693362926844314,0.012513776884562794,4446,40,729,main,firearm_suicide_share,core_controls,-4,-1,event_study
event_-3,0.008944551091498557,0.007361611933681447,1.2150261616718367,0.2243561134515415,-0.005484208298517078,0.02337331048151419,4446,40,729,main,firearm_suicide_share,core_controls,-3,-1,event_study
event_-2,-0.0021033281888427472,0.008651265161081645,-0.24312376856794593,0.8079095188768763,-0.01905980790456277,0.014853151526877275,4446,40,729,main,firearm_suicide_share,core_controls,-2,-1,event_study
event_0,0.0037484071357427127,0.005926177083252021,0.632516896320242,0.5270491712620092,-0.007866899947431248,0.015363714218916674,4446,40,729,main,firearm_suicide_share,core_controls,0,-1,event_study
event_1,-0.007716034311022135,0.007019086751714096,-1.0992931963888095,0.27164019902498127,-0.021473444344381764,0.0060413757223374935,4446,40,729,main,firearm_suicide_share,core_controls,1,-1,event_study
event_2,0.007935798290446272,0.00763458383391067,1.0394539457668528,0.29859366622438344,-0.007027986024018641,0.022899582604911185,4446,40,729,main,firearm_suicide_share,core_controls,2,-1,event_study
event_3,-0.008101532771435549,0.010312060374240416,-0.7856366698233481,0.432080374969788,-0.028313171104946765,0.012110105562075667,4446,40,729,main,firearm_suicide_share,core_controls,3,-1,event_study
event_-5,-0.040388195904217945,0.016163772355599532,-2.498686260588573,0.012465461590213587,-0.07206918972119303,-0.008707202087242863,4446,40,729,main,ln_firearm_suicide_rate,core_controls,-5,-1,event_study
event_-4,-0.027613394894643574,0.028379473313041175,-0.9730058972572417,0.3305503711427811,-0.08323716258820427,0.028010372798917126,4446,40,729,main,ln_firearm_suicide_rate,core_controls,-4,-1,event_study
event_-3,0.010510509147083458,0.023209400841902646,0.4528556863091272,0.6506526620184805,-0.03497991650304573,0.056000934797212645,4446,40,729,main,ln_firearm_suicide_rate,core_controls,-3,-1,event_study
event_-2,-0.03656160669096806,0.01994528369899517,-1.8330953443800857,0.06678839335878271,-0.07565436274099858,0.0025311493590624706,4446,40,729,main,ln_firearm_suicide_rate,core_controls,-2,-1,event_study
event_0,0.009175461704295118,0.016573793336982456,0.5536126532856641,0.5798439645575415,-0.023309173236190493,0.04166009664478073,4446,40,729,main,ln_firearm_suicide_rate,core_controls,0,-1,event_study
event_1,0.018263151639150155,0.017081507090793476,1.0691768321188448,0.284989996114994,-0.015216602258805056,0.051742905537105366,4446,40,729,main,ln_firearm_suicide_rate,core_controls,1,-1,event_study
event_2,0.021806863490128836,0.01757767154367005,1.240600237406403,0.21475346421560426,-0.012645372735464462,0.056259099715722134,4446,40,729,main,ln_firearm_suicide_rate,core_controls,2,-1,event_study
event_3,-0.053321002613737734,0.027938900508153654,-1.9084860765432268,0.05632842105199217,-0.10808124760971889,0.0014392423822434247,4446,40,729,main,ln_firearm_suicide_rate,core_controls,3,-1,event_study
event_-5,-0.022425527367460313,0.023202679777652953,-0.966505920107507,0.3337910860075378,-0.06790277973166009,0.02305172499673947,4446,40,729,main,ln_nonfirearm_suicide_rate,core_controls,-5,-1,event_study
event_-4,0.00011173220617948648,0.029405386738730104,0.0037997189825197224,0.9969682701837437,-0.057522825801731514,0.05774629021409049,4446,40,729,main,ln_nonfirearm_suicide_rate,core_controls,-4,-1,event_study
event_-3,-0.029306968112489062,0.021101677151786503,-1.3888454411315778,0.16487975394622334,-0.0706662553299906,0.012052319105012484,4446,40,729,main,ln_nonfirearm_suicide_rate,core_controls,-3,-1,event_study
event_-2,-0.031056713280793208,0.029122237718021284,-1.0664260618123738,0.286231085723595,-0.08813629920811492,0.026022872646528507,4446,40,729,main,ln_nonfirearm_suicide_rate,core_controls,-2,-1,event_study
event_0,-0.005593214853254702,0.015615681989251728,-0.35817935182750976,0.7202090984222362,-0.03619995155218809,0.025013521845678684,4446,40,729,main,ln_nonfirearm_suicide_rate,core_controls,0,-1,event_study
event_1,0.047853013911490994,0.02848118832182864,1.680162125637691,0.09292577612310834,-0.007970115199293144,0.10367614302227512,4446,40,729,main,ln_nonfirearm_suicide_rate,core_controls,1,-1,event_study
event_2,-0.011650476873152016,0.03090156596475694,-0.37701897976430443,0.7061595001305631,-0.07221754616407561,0.04891659241777158,4446,40,729,main,ln_nonfirearm_suicide_rate,core_controls,2,-1,event_study
event_3,-0.022720526569259603,0.0385631024120008,-0.5891778707666683,0.5557419602837854,-0.09830420729678117,0.05286315415826197,4446,40,729,main,ln_nonfirearm_suicide_rate,core_controls,3,-1,event_study
event_-5,-0.03717625185846672,0.015512764148134923,-2.396494364477034,0.01655274802487627,-0.06758126958881117,-0.006771234128122274,4446,40,729,main,ln_total_suicide_rate,core_controls,-5,-1,event_study
event_-4,-0.01581845705163592,0.021301741076890198,-0.7425898659897346,0.45773002581371236,-0.057569869562340704,0.025932955459068867,4446,40,729,main,ln_total_suicide_rate,core_controls,-4,-1,event_study
event_-3,-0.0036037930463840295,0.01661555944216275,-0.21689266972493496,0.8282919903492739,-0.03617028955302302,0.02896270346025496,4446,40,729,main,ln_total_suicide_rate,core_controls,-3,-1,event_study
event_-2,-0.031301703341568704,0.016285154267870403,-1.9221005110970928,0.05459311178694414,-0.06322060570659468,0.0006171990234572836,4446,40,729,main,ln_total_suicide_rate,core_controls,-2,-1,event_study
event_0,0.002295182776849841,0.01099634162048595,0.20872239659906205,0.8346649552415589,-0.01925764679930262,0.023848012353002303,4446,40,729,main,ln_total_suicide_rate,core_controls,0,-1,event_study
event_1,0.03448382341148082,0.01649532750047525,2.090520688994341,0.0365710518911919,0.0021529815105493302,0.06681466531241231,4446,40,729,main,ln_total_suicide_rate,core_controls,1,-1,event_study
event_2,0.009289679420333721,0.018550649445489564,0.5007738110534146,0.6165303188154552,-0.027069593492825825,0.04564895233349327,4446,40,729,main,ln_total_suicide_rate,core_controls,2,-1,event_study
event_3,-0.03746036761716787,0.02423351923273809,-1.5458079884064493,0.12215094719466849,-0.08495806531333452,0.01003733007899879,4446,40,729,main,ln_total_suicide_rate,core_controls,3,-1,event_study
event_-5,-0.01794599418900556,0.024057958157957287,-0.7459483498631756,0.4556986164312946,-0.06509959217860184,0.029207603800590717,4446,40,729,main,logit_firearm_suicide_share,core_controls,-5,-1,event_study
event_-4,-0.02762528552022714,0.04075474427780476,-0.6778421999637477,0.49787175109184467,-0.10750458430472447,0.05225401326427019,4446,40,729,main,logit_firearm_suicide_share,core_controls,-4,-1,event_study
event_-3,0.03961222220649256,0.03137627122891497,1.2624897941979705,0.20677259639426637,-0.021885269402180774,0.1011097138151659,4446,40,729,main,logit_firearm_suicide_share,core_controls,-3,-1,event_study
