term,coefficient,std_error,t_stat,p_value_normal,ci95_low,ci95_high,nobs,clusters,rank,sample,outcome,controls_spec,controls,model,excluded_early_adopter
post,0.3738994468701897,0.12941693469125157,2.8891075790212244,0.0038633687774421973,0.12024225487533663,0.6275566388650429,4194,39,681,exclude_Alaska,firearm_suicide_rate,no_controls,,average_post,Alaska
post,0.1623129492207207,0.1218849791156259,1.3316895190730837,0.18296223474063156,-0.07658160984590606,0.40120750828734747,4194,39,681,exclude_Alaska,nonfirearm_suicide_rate,no_controls,,average_post,Alaska
post,0.5362123960909164,0.1627029657713129,3.295652255316535,0.0009819347857231066,0.21731458317914315,0.8551102090026896,4194,39,681,exclude_Alaska,total_suicide_rate,no_controls,,average_post,Alaska
post,0.00022614765510020618,0.005159622480191589,0.043830271685266556,0.9650396969486752,-0.009886712406075308,0.01033900771627572,4194,39,681,exclude_Alaska,firearm_suicide_share,no_controls,,average_post,Alaska
post,0.0192087699334772,0.012382895781061559,1.5512340790960346,0.12084559799063253,-0.0050617057974034554,0.04347924566435785,4194,39,681,exclude_Alaska,ln_firearm_suicide_rate,no_controls,,average_post,Alaska
post,0.017362079298134603,0.01641131135824446,1.0579336970176068,0.2900856712482489,-0.01480409096402454,0.049528249560293745,4194,39,681,exclude_Alaska,ln_nonfirearm_suicide_rate,no_controls,,average_post,Alaska
post,0.020734940074507602,0.00904180799716778,2.2932294161745674,0.02183480043762108,0.003012996400058754,0.03845688374895645,4194,39,681,exclude_Alaska,ln_total_suicide_rate,no_controls,,average_post,Alaska
post,0.0019271887637062335,0.021431033064002535,0.08992514536983805,0.9283466989851602,-0.04007763604173873,0.0439320135691512,4194,39,681,exclude_Alaska,logit_firearm_suicide_share,no_controls,,average_post,Alaska
post,0.39636396719023526,0.12917639977080167,3.068393049299298,0.002152133484566657,0.14317822363946398,0.6495497107410065,4194,39,686,exclude_Alaska,firearm_suicide_rate,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post,Alaska
post,0.18700541024560016,0.11718307961651071,1.5958396968025383,0.11052458788706496,-0.042673425802760845,0.41668424629396117,4194,39,686,exclude_Alaska,nonfirearm_suicide_rate,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post,Alaska
post,0.5833693774358258,0.16588179901231107,3.516777494030738,0.0004368197933692555,0.2582410513716962,0.9084977034999555,4194,39,686,exclude_Alaska,total_suicide_rate,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post,Alaska
post,1.989169565270351e-05,0.004749542746400572,0.00418812856622427,0.9966583666472977,-0.009289212087292418,0.009328995478597824,4194,39,686,exclude_Alaska,firearm_suicide_share,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post,Alaska
post,0.02074812264390279,0.011684334827611156,1.7757213354476176,0.07577885901281416,-0.0021531736182150776,0.04364941890602066,4194,39,686,exclude_Alaska,ln_firearm_suicide_rate,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post,Alaska
post,0.02019554329558975,0.01597672235175687,1.2640604781724183,0.20620832059952698,-0.011118832513853712,0.05150991910503321,4194,39,686,exclude_Alaska,ln_nonfirearm_suicide_rate,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post,Alaska
post,0.022111305994195793,0.00920393723537926,2.402374704295196,0.016289013689656146,0.004071589012852442,0.040151022975539144,4194,39,686,exclude_Alaska,ln_total_suicide_rate,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post,Alaska
post,0.0006259790180323016,0.019753551680703346,0.03168944137999253,0.9747197152174272,-0.038090982276146254,0.03934294031221086,4194,39,686,exclude_Alaska,logit_firearm_suicide_share,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post,Alaska
post,0.3960552778968278,0.1293493057187133,3.0619049379213594,0.002199332874062637,0.14253063868814975,0.6495799171055059,4149,39,676,exclude_Arizona,firearm_suicide_rate,no_controls,,average_post,Arizona
post,0.21138775040379354,0.12154664241588051,1.7391492368873118,0.08200851588188388,-0.02684366873133226,0.44961916953891934,4149,39,676,exclude_Arizona,nonfirearm_suicide_rate,no_controls,,average_post,Arizona
post,0.6074430283005938,0.161552109968781,3.760043916591239,0.0001698835312033198,0.29080089276178306,0.9240851638394045,4149,39,676,exclude_Arizona,total_suicide_rate,no_controls,,average_post,Arizona
post,-0.00023841402849278381,0.0051256385739599595,-0.04651401480081148,0.9629005639811536,-0.010284665633454305,0.009807837576468737,4149,39,676,exclude_Arizona,firearm_suicide_share,no_controls,,average_post,Arizona
post,0.022799940036273725,0.012718092752291207,1.792716917571327,0.073018200025293,-0.0021275217582170415,0.04772740183076449,4149,39,676,exclude_Arizona,ln_firearm_suicide_rate,no_controls,,average_post,Arizona
post,0.02289583366594261,0.016081577824285074,1.4237305515735657,0.15452448616246156,-0.008624058869656136,0.05441572620154136,4149,39,676,exclude_Arizona,ln_nonfirearm_suicide_rate,no_controls,,average_post,Arizona
post,0.02506894400142068,0.008964027577211906,2.7966161176422784,0.005164085059248755,0.007499449950085342,0.042638438052756016,4149,39,676,exclude_Arizona,ln_total_suicide_rate,no_controls,,average_post,Arizona
post,4.1428371864604685e-05,0.021294143852381358,0.0019455288811703827,0.9984476935223862,-0.041695093578802855,0.041777950322532065,4149,39,676,exclude_Arizona,logit_firearm_suicide_share,no_controls,,average_post,Arizona
post,0.4092232574571442,0.12529022890338645,3.266202488724828,0.0010900027706440523,0.16365440880650678,0.6547921061077817,4149,39,681,exclude_Arizona,firearm_suicide_rate,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post,Arizona
post,0.22285327587240084,0.11617815702968179,1.918202884002241,0.05508529069619567,-0.004855911905775473,0.45056246365057717,4149,39,681,exclude_Arizona,nonfirearm_suicide_rate,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post,Arizona
post,0.63207653332954,0.1609230894628966,3.9278175396655888,8.57202029636961e-05,0.31666727798226263,0.9474857886768173,4149,39,681,exclude_Arizona,total_suicide_rate,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post,Arizona
post,-0.00032559606385036867,0.0046938403926848156,-0.06936666708092559,0.9446977608026949,-0.009525523233512606,0.008874331105811869,4149,39,681,exclude_Arizona,firearm_suicide_share,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post,Arizona
