state,state_abbr,year,relinquishment,violent,violenth,violentpartial,dealer,dealerh,residential,theft,ammlicense,ammrecords,permit,permith,registration,registrationh,defactoreg,defactoregh,ammpermit,age21handgunsale,age18longgunsale,age21longgunsale,age21handgunpossess,age18longgunpossess,age21longgunpossess,loststolen,amm18,amm21h,universal,universalh,gunshow,gunshowh,universalpermit,universalpermith,ammbackground,statechecks,statechecksh,waiting,waitingh,assault,onefeature,assaultlist,assaultregister,assaulttransfer,magazine,tenroundlimit,magazinepreowned,onepermonth,gvro,gvrolawenforcement,college,collegeconcealed,elementary,opencarryh,opencarryl,opencarrypermith,opencarrypermitl,permitconcealed,mayissue,nosyg,locked,liability,mcdv,mcdvsurrender,mcdvremovalallowed,mcdvremovalrequired,incidentremoval,incidentall,dvro,exparte,dvrosurrender,expartesurrender,dvroremoval,stalking,lawtotal,population,violent_crime,violent_rate,property_crime,property_rate,unemployment_rate,pcpi_nominal,pcpi_real_2024,ln_population,ln_pcpi_real_2024,firearm_suicides,total_suicides,firearm_homicides,total_homicides,fss,per_capita_alcohol_ethanol_14plus,nonfirearm_suicides,firearm_suicide_rate,nonfirearm_suicide_rate,total_suicide_rate,firearm_suicide_share,ln_firearm_suicide_rate,ln_nonfirearm_suicide_rate,ln_total_suicide_rate,logit_firearm_suicide_share,stack_id,treated_unit_state,treated_unit_abbr,adoption_year,treated_state,event_time,post,state_stack_fe,year_stack_fe
Alabama,AL,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,4891628.0,25567.0,522.6685267154411,138702.0,2835.4977116003097,3.925,41324.0,51626.00100491372,15.403035730379424,10.851780720001042,552,823,468.0,568,0.670716889,1.9873,271,11.284586644773478,5.540077863647849,16.82466450842133,0.6707168894289186,2.42432355294871,1.7138119571460297,2.823440124194767,0.7104912940179177,AL_2023,Alabama,AL,2023,1,-5,0,AL_AL_2023,2018_AL_2023
Alabama,AL,2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,4907965.0,24769.0,504.66945057676656,128726.0,2622.797839837896,3.1916666666666664,42998.0,52760.63943678775,15.406369953573169,10.87352072648464,543,804,486.0,587,0.675373134,1.9944,261,11.063648579401034,5.317886333745249,16.381534913146282,0.6753731343283582,2.404568284052297,1.6729545992539978,2.796765037739201,0.7315954230562867,AL_2023,Alabama,AL,2023,1,-4,0,AL_AL_2023,2019_AL_2023
Alabama,AL,2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,5032962.0,22322.0,443.5161640401815,105161.0,2089.4455392271984,6.408333333333334,45843.0,55555.517134543086,15.431519235561108,10.925138108489646,542,793,564.0,654,0.683480454,2.0463,251,10.769006402194176,4.987122891053022,15.756129293247197,0.6834804539722572,2.377600390749976,1.60886232502605,2.7578639233682156,0.7687450958748206,AL_2023,Alabama,AL,2023,1,-3,0,AL_AL_2023,2020_AL_2023
Alabama,AL,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,5050058.0,17590.0,348.3128312585717,74271.0,1470.6959801253768,3.391666666666667,50495.0,58456.61585807464,15.434910286334103,10.976040148828083,623,827,650.0,748,0.75333,2.0751,204,12.33649197692383,4.039557565477466,16.376049542401294,0.7533252720677146,2.5133719722725036,1.3986076320590028,2.7964303351741817,1.1147807896372348,AL_2023,Alabama,AL,2023,1,-2,0,AL_AL_2023,2021_AL_2023
Alabama,AL,2022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,5076868.0,22232.0,437.9077809389569,93113.0,1834.0638362076777,2.5416666666666665,51660.0,55379.987475498485,15.440205093985467,10.921973570569248,614,840,624.0,706,0.73095,2.0117,226,12.094070596281014,4.451563444233728,16.54563404051474,0.7309523809523809,2.4935418089443444,1.4954992526388338,2.8067264693002354,0.9980639840830008,AL_2023,Alabama,AL,2023,1,-1,0,AL_AL_2023,2022_AL_2023
Alabama,AL,2023,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,5117850.0,21352.0,417.2064441122737,95542.0,1866.8386138710591,2.475,54112.0,55709.44557377731,15.44824498694881,10.927904990959906,618,869,633.0,717,0.71116,1.948,251,12.075383217562063,4.9044032161943,16.979786433756363,0.7111622554660529,2.4919967238357312,1.5921703253102892,2.832612365490437,0.8998542022927488,AL_2023,Alabama,AL,2023,1,0,1,AL_AL_2023,2023_AL_2023
Colorado,CO,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,20,5697155.0,22851.0,401.0949324706805,154292.0,2708.2289318089465,3.025,57798.0,72206.94042401518,15.55547748539451,11.187291448017383,660,1282,188.0,263,0.514820593,2.8774,622,11.58472957116315,10.917729989793152,22.502459560956304,0.514820592823713,2.450550647551782,2.3913035944149437,3.1140689142075706,0.05925349562351729,AL_2023,Alabama,AL,2023,0,-5,0,CO_AL_2023,2018_AL_2023
Colorado,CO,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,22,5758486.0,22149.0,384.6323495446546,150564.0,2614.6455856626203,2.6666666666666665,61278.0,75191.08943224057,15.566185150899466,11.227788011324702,647,1312,164.0,250,0.493140244,2.7838,665,11.235592133071089,11.548174294423916,22.783766427495006,0.49314024390243905,2.4199762414790005,2.447392917763189,3.1264870962763216,-0.027419844261473456,AL_2023,Alabama,AL,2023,0,-4,0,CO_AL_2023,2019_AL_2023
Colorado,CO,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,22,5786873.0,24570.0,424.5816350211936,164582.0,2844.057576518441,6.791666666666667,64671.0,78372.507222652,15.571102634574713,11.269228471657822,654,1302,235.0,336,0.502304147,2.9838,648,11.301440346107475,11.197757407152361,22.499197753259836,0.5023041474654378,2.425814633576314,2.416606164185215,3.1139240147126714,0.009209581593455942,AL_2023,Alabama,AL,2023,0,-3,0,CO_AL_2023,2020_AL_2023
Colorado,CO,2021,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,29,5814368.0,27916.0,480.1209692953732,182850.0,3144.7957886394533,5.508333333333333,71676.0,82977.25315859704,15.575842653591518,11.326321790887732,745,1384,276.0,368,0.53829,3.0583,639,12.81308647818645,10.990016455786769,23.803102933973218,0.5382947976878613,2.551247177444447,2.397896768777867,3.1702359726282396,0.1533685131858957,AL_2023,Alabama,AL,2023,0,-2,0,CO_AL_2023,2021_AL_2023
Colorado,CO,2022,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,29,5853355.0,29221.0,499.2179698651457,185350.0,3166.560032665027,3.0666666666666664,76544.0,82055.86065281757,15.582525559090817,11.315155521789665,691,1293,304.0,417,0.53442,3.0801,602,11.805195481907385,10.28469997121309,22.089895453120477,0.534416086620263,2.4693864557332645,2.331629196899482,3.095572877884485,0.13777548574000276,AL_2023,Alabama,AL,2023,0,-1,0,CO_AL_2023,2022_AL_2023
Colorado,CO,2023,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,35,5912240.0,28633.0,484.3003666968865,172509.0,2917.8280989946284,3.283333333333333,79746.0,82100.18936144377,15.592535336185392,11.315695601910988,721,1297,261.0,368,0.5559,3.0723,576,12.195039443594982,9.742500304453134,21.937539748048117,0.5558982266769468,2.5018489355967666,2.277523693616632,3.0886550488678735,0.22435703850481187,AL_2023,Alabama,AL,2023,0,0,0,CO_AL_2023,2023_AL_2023
