policy,year,bandwidth_km,donut_km,n_counties_in_strip,n_state_pairs_in_strip,n_pairs_straddling_policy_boundary,n_treated_counties,n_control_counties,mean_distance_km
permitless_carry,2009,50,0,902,88,3,10,876,34.57943793200625
permitless_carry,2010,50,0,902,88,3,10,876,34.57943793200625
permitless_carry,2011,50,0,902,88,5,12,874,34.57943793200625
permitless_carry,2012,50,0,902,88,5,12,874,34.57943793200625
permitless_carry,2013,50,0,902,88,5,12,874,34.57943793200625
permitless_carry,2014,50,0,902,88,5,12,874,34.57943793200625
permitless_carry,2015,50,0,902,88,13,65,821,34.57943793200625
permitless_carry,2016,50,0,902,88,20,107,779,34.57943793200625
permitless_carry,2017,50,0,902,88,28,168,718,34.57943793200625
permitless_carry,2018,50,0,902,88,28,168,718,34.57943793200625
permitless_carry,2019,50,0,902,88,33,260,626,34.57943793200625
permitless_carry,2020,50,0,902,88,33,260,626,34.57943793200625
permitless_carry,2021,50,0,902,88,33,379,507,34.57943793200625
permitless_carry,2022,50,0,902,88,37,493,393,34.57943793200625
permitless_carry,2023,50,0,902,88,29,553,333,34.57943793200625
permitless_carry,2024,50,0,902,88,26,586,300,34.57943793200625
permitless_carry,2009,50,10,892,88,3,10,868,34.86728034630946
permitless_carry,2010,50,10,892,88,3,10,868,34.86728034630946
permitless_carry,2011,50,10,892,88,5,12,866,34.86728034630946
permitless_carry,2012,50,10,892,88,5,12,866,34.86728034630946
permitless_carry,2013,50,10,892,88,5,12,866,34.86728034630946
permitless_carry,2014,50,10,892,88,5,12,866,34.86728034630946
permitless_carry,2015,50,10,892,88,13,65,813,34.86728034630946
permitless_carry,2016,50,10,892,88,20,106,772,34.86728034630946
permitless_carry,2017,50,10,892,88,28,167,711,34.86728034630946
permitless_carry,2018,50,10,892,88,28,167,711,34.86728034630946
permitless_carry,2019,50,10,892,88,33,259,619,34.86728034630946
permitless_carry,2020,50,10,892,88,33,259,619,34.86728034630946
permitless_carry,2021,50,10,892,88,33,376,502,34.86728034630946
permitless_carry,2022,50,10,892,88,37,490,388,34.86728034630946
permitless_carry,2023,50,10,892,88,29,549,329,34.86728034630946
permitless_carry,2024,50,10,892,88,26,582,296,34.86728034630946
permitless_carry,2009,50,25,741,85,3,9,723,37.97934419858851
permitless_carry,2010,50,25,741,85,3,9,723,37.97934419858851
permitless_carry,2011,50,25,741,85,5,11,721,37.97934419858851
permitless_carry,2012,50,25,741,85,5,11,721,37.97934419858851
permitless_carry,2013,50,25,741,85,5,11,721,37.97934419858851
permitless_carry,2014,50,25,741,85,5,11,721,37.97934419858851
permitless_carry,2015,50,25,741,85,13,58,674,37.97934419858851
permitless_carry,2016,50,25,741,85,20,85,647,37.97934419858851
permitless_carry,2017,50,25,741,85,27,139,593,37.97934419858851
permitless_carry,2018,50,25,741,85,27,139,593,37.97934419858851
permitless_carry,2019,50,25,741,85,32,211,521,37.97934419858851
permitless_carry,2020,50,25,741,85,32,211,521,37.97934419858851
permitless_carry,2021,50,25,741,85,33,314,418,37.97934419858851
permitless_carry,2022,50,25,741,85,37,404,328,37.97934419858851
permitless_carry,2023,50,25,741,85,28,457,275,37.97934419858851
permitless_carry,2024,50,25,741,85,25,486,246,37.97934419858851
permitless_carry,2009,100,0,1954,101,3,14,1919,55.82787867960549
permitless_carry,2010,100,0,1954,101,5,17,1916,55.82787867960549
permitless_carry,2011,100,0,1954,101,11,30,1903,55.82787867960549
permitless_carry,2012,100,0,1954,101,11,30,1903,55.82787867960549
permitless_carry,2013,100,0,1954,101,11,30,1903,55.82787867960549
permitless_carry,2014,100,0,1954,101,11,30,1903,55.82787867960549
permitless_carry,2015,100,0,1954,101,20,164,1769,55.82787867960549
permitless_carry,2016,100,0,1954,101,28,245,1688,55.82787867960549
permitless_carry,2017,100,0,1954,101,36,363,1570,55.82787867960549
permitless_carry,2018,100,0,1954,101,36,363,1570,55.82787867960549
permitless_carry,2019,100,0,1954,101,42,559,1374,55.82787867960549
permitless_carry,2020,100,0,1954,101,42,559,1374,55.82787867960549
permitless_carry,2021,100,0,1954,101,39,851,1082,55.82787867960549
permitless_carry,2022,100,0,1954,101,43,1094,839,55.82787867960549
permitless_carry,2023,100,0,1954,101,35,1233,700,55.82787867960549
permitless_carry,2024,100,0,1954,101,32,1313,620,55.82787867960549
permitless_carry,2009,100,10,1944,101,3,14,1911,56.06925719865613
permitless_carry,2010,100,10,1944,101,5,17,1908,56.06925719865613
permitless_carry,2011,100,10,1944,101,11,30,1895,56.06925719865613
permitless_carry,2012,100,10,1944,101,11,30,1895,56.06925719865613
permitless_carry,2013,100,10,1944,101,11,30,1895,56.06925719865613
permitless_carry,2014,100,10,1944,101,11,30,1895,56.06925719865613
permitless_carry,2015,100,10,1944,101,20,164,1761,56.06925719865613
permitless_carry,2016,100,10,1944,101,28,244,1681,56.06925719865613
permitless_carry,2017,100,10,1944,101,36,362,1563,56.06925719865613
