outcome,spec,control_rule,tier,g_cohort,t_year,event_time,n_treated,n_control,att,se
firearm_suicide_rate,or,broad,all,2016,1999,-17,2,37,2.371867817273912,0.2918821176634543
firearm_suicide_rate,or,broad,all,2016,2000,-16,2,37,1.658174252931736,0.5194689843148295
firearm_suicide_rate,or,broad,all,2016,2001,-15,2,37,1.4589318466486214,0.46575592678901995
firearm_suicide_rate,or,broad,all,2016,2002,-14,2,37,1.5814018370094425,0.2667806541232801
firearm_suicide_rate,or,broad,all,2016,2003,-13,2,37,1.7831487548731364,0.31536801698176153
firearm_suicide_rate,or,broad,all,2016,2004,-12,2,37,1.5496972487884122,0.29699442066543574
firearm_suicide_rate,or,broad,all,2016,2005,-11,2,37,0.9761279228268092,0.3639522606072269
firearm_suicide_rate,or,broad,all,2016,2006,-10,2,37,1.1038913104087171,0.3898327134992513
firearm_suicide_rate,or,broad,all,2016,2007,-9,2,37,1.2914106756946377,0.3822621835519018
firearm_suicide_rate,or,broad,all,2016,2008,-8,2,37,0.9824863834410049,0.332244554939926
firearm_suicide_rate,or,broad,all,2016,2009,-7,2,37,1.2660852800500906,0.26779147097367256
firearm_suicide_rate,or,broad,all,2016,2010,-6,2,37,0.7801550370376251,0.2533704282746643
firearm_suicide_rate,or,broad,all,2016,2011,-5,2,37,0.9497827967236886,0.20843468518191888
firearm_suicide_rate,or,broad,all,2016,2012,-4,2,37,0.7241770482131364,0.166035447597255
firearm_suicide_rate,or,broad,all,2016,2013,-3,2,37,0.11198180315291795,0.2716015427074211
firearm_suicide_rate,or,broad,all,2016,2014,-2,2,37,0.6625859968777204,0.17068196614288092
firearm_suicide_rate,or,broad,all,2016,2016,0,2,37,-0.3004746237302366,0.21330770712261188
firearm_suicide_rate,or,broad,all,2016,2017,1,2,37,-0.16489414429821114,0.41367522186131983
firearm_suicide_rate,or,broad,all,2016,2018,2,2,37,-0.3578746904898876,0.20616927065147486
firearm_suicide_rate,or,broad,all,2016,2019,3,2,37,-0.06616664989809895,0.33962952182526207
firearm_suicide_rate,or,broad,all,2016,2020,4,2,37,-0.5792581499820985,0.2765164363913759
firearm_suicide_rate,or,broad,all,2016,2021,5,2,37,-1.3789501047793014,0.2883155837111217
firearm_suicide_rate,or,broad,all,2016,2022,6,2,37,-0.7921347634725799,0.3170034212960331
firearm_suicide_rate,or,broad,all,2016,2023,7,2,37,-0.6375197638398924,0.43224679887426715
firearm_suicide_rate,or,broad,all,2018,1999,-19,4,37,2.4283351207374513,0.49905847684613763
firearm_suicide_rate,or,broad,all,2018,2000,-18,4,37,2.100642429526129,0.4960955227261932
firearm_suicide_rate,or,broad,all,2018,2001,-17,4,37,2.1011628128774142,0.7495259901690011
firearm_suicide_rate,or,broad,all,2018,2002,-16,4,37,1.438355234775539,0.4986928335429858
