outcome,spec,control_rule,tier,att_overall_post,se_overall_post,z,att_pretrends_avg,se_pretrends_avg,z_pretrends,n_post_cells,n_pre_cells
firearm_homicide_rate,or,broad,all,-0.5735932906565044,0.10577114270797351,-5.42296581062903,0.2564727643810281,0.0995755708563799,2.575659493340436,24,19
firearm_homicide_rate,or,strict,all,-0.5614713990804738,0.10921522107255155,-5.1409628947918256,0.2749498858089816,0.10127918780172294,2.7147718280211586,24,19
firearm_homicide_rate,ra,broad,expanded,-0.4084334642869475,0.12992529000426184,-3.143602483192841,-0.34498711482796024,0.10275618445729129,-3.3573367544738657,24,19
firearm_homicide_rate,ra,broad,headline,-0.6056855080022643,0.11366276517013048,-5.328794412978374,-0.38930046937256474,0.10880945627519362,-3.5778183505298653,24,19
firearm_homicide_rate,ra,broad,minimal,0.04601516634682377,0.10293472942443027,0.44703247003340973,-0.018639416376772827,0.07677827457223226,-0.2427694094536736,24,19
firearm_homicide_rate,ra,strict,expanded,-0.7988633077042127,0.20259149396017778,-3.943222353951546,0.46508591852869896,0.18456138203227712,2.519952513399375,24,19
firearm_homicide_rate,ra,strict,headline,-0.9061169336391093,0.1475857559700869,-6.13959611266797,-0.2949331056755052,0.13550632677108204,-2.176526459711001,24,19
firearm_homicide_rate,ra,strict,minimal,-0.10167684060595084,0.11277667914339719,-0.9015768275697075,0.02089569480099051,0.09591704088010125,0.21785174573004876,24,19
firearm_suicide_rate,or,broad,all,-0.20981823331179927,0.07664185614405325,-2.737645509490696,0.44337270173152793,0.08723527989678997,5.082493026400467,24,20
firearm_suicide_rate,or,strict,all,-0.2412836718103637,0.0815086198101919,-2.9602227638283893,0.490053460223417,0.09036831944311075,5.42284578537414,24,20
firearm_suicide_rate,ra,broad,expanded,0.3432364981747411,0.15192644793585575,2.2592280859462837,0.12329573613808897,0.18142288770574744,0.6796040879806975,24,20
firearm_suicide_rate,ra,broad,headline,0.7216333644180765,0.13896656811382205,5.192855909250166,0.4305315383447976,0.1807689271827873,2.3816678289486055,24,20
firearm_suicide_rate,ra,broad,minimal,-0.20179553426843483,0.07357758726958503,-2.742622335916845,0.11519302122574761,0.08726226107177681,1.3200783455633425,24,20
firearm_suicide_rate,ra,strict,expanded,-0.6293685351541615,0.22939366397719813,-2.74361778020478,-1.5206040781330075,0.2752695581847335,-5.524054632704898,24,20
firearm_suicide_rate,ra,strict,headline,0.006161210723031829,0.21074956007236983,0.02923475010299483,-0.5702810616356311,0.24505385628971119,-2.3271662412095444,24,20
firearm_suicide_rate,ra,strict,minimal,-0.56551634311924,0.11810746506139365,-4.788150713634215,0.177039511830358,0.12128128030332276,1.4597430979256212,24,20
homicide_rate,or,broad,all,-0.36865036794910105,0.11401252150607277,-3.233420005797041,0.19633278257443398,0.12906104617918548,1.5212396643821553,24,20
homicide_rate,or,strict,all,-0.36371819620691015,0.11583728323580766,-3.139906134249508,0.20167725486932997,0.12982133885156402,1.5534984976539568,24,20
homicide_rate,ra,broad,expanded,-0.6670932413930648,0.14725567270435594,-4.530170071834059,-0.07520716329724529,0.14068866295548904,-0.5345644895426952,24,20
homicide_rate,ra,broad,headline,-0.9340372267512136,0.11603046514357984,-8.049930900435552,-0.014380851037138986,0.14162148028508104,-0.10154427851051012,24,20
homicide_rate,ra,broad,minimal,-0.782476203945761,0.09573943918444962,-8.172976681409827,0.39012901737994105,0.10638299889253057,3.66721206810549,24,20
