outcome,spec,control_rule,g_cohort,t_year,event_time,n_treated_states,n_control_states,n_treated_counties,n_control_counties,att,se
county_violent_crime_rate,or,broad,2016,2009,-7,2,34,97,2498,-4.090941337229302,15.254731295462893
county_violent_crime_rate,or,broad,2016,2010,-6,2,34,97,2498,-0.7823336474051639,15.86100336166094
county_violent_crime_rate,or,broad,2016,2011,-5,2,34,97,2498,-5.7565000947488585,20.726286047139386
county_violent_crime_rate,or,broad,2016,2012,-4,2,34,97,2498,8.566151129713575,12.749399242778658
county_violent_crime_rate,or,broad,2016,2013,-3,2,34,97,2498,4.981330140689516,13.989669195732992
county_violent_crime_rate,or,broad,2016,2014,-2,2,34,97,2498,-9.953583246716493,8.627401503035825
county_violent_crime_rate,or,broad,2016,2016,0,2,34,97,2498,0.6965538412290204,3.7124124401460468
county_violent_crime_rate,or,broad,2016,2017,1,2,34,97,2498,9.541479057316083,8.646038069892729
county_violent_crime_rate,or,broad,2016,2018,2,2,34,97,2498,17.38618674420615,7.042641813890916
county_violent_crime_rate,or,broad,2016,2019,3,2,34,97,2498,10.830764503782806,7.695957634415255
county_violent_crime_rate,or,broad,2016,2020,4,2,34,97,2498,0.797455976164656,10.30801612225748
county_violent_crime_rate,or,broad,2016,2021,5,2,34,97,2498,-189.81082570855494,122.43161440871556
county_violent_crime_rate,or,broad,2016,2022,6,2,34,97,2498,49.6124126144666,12.194556282006412
county_violent_crime_rate,or,broad,2016,2023,7,2,34,97,2498,63.276218708089836,11.5203537378197
county_violent_crime_rate,or,broad,2016,2024,8,2,34,97,2498,65.68844705779507,14.11990177083227
county_violent_crime_rate,or,broad,2018,2009,-9,4,34,77,2498,23.293931679880476,47.16134476392647
county_violent_crime_rate,or,broad,2018,2010,-8,4,34,77,2498,28.79908704906264,36.86612729013722
county_violent_crime_rate,or,broad,2018,2011,-7,4,34,77,2498,13.82718667799286,20.347150082020036
county_violent_crime_rate,or,broad,2018,2012,-6,4,34,77,2498,5.45704969121348,15.195826816478498
county_violent_crime_rate,or,broad,2018,2013,-5,4,34,77,2498,5.771552062975687,10.344562258831367
county_violent_crime_rate,or,broad,2018,2014,-4,4,34,77,2498,-6.9738658208623825,8.015776443134088
county_violent_crime_rate,or,broad,2018,2015,-3,4,34,77,2498,-2.6821461771109476,8.013682681966152
county_violent_crime_rate,or,broad,2018,2016,-2,4,34,77,2498,-1.8846695336703907,3.7511949582790773
county_violent_crime_rate,or,broad,2018,2018,0,4,34,77,2498,4.6627477478221415,7.860508989044613
county_violent_crime_rate,or,broad,2018,2019,1,4,34,77,2498,13.645995800999728,19.691237544623053
county_violent_crime_rate,or,broad,2018,2020,2,4,34,77,2498,-14.41302336358585,26.94516116356586
county_violent_crime_rate,or,broad,2018,2021,3,4,34,77,2498,-51.279074941852805,77.181322896247
county_violent_crime_rate,or,broad,2018,2022,4,4,34,77,2498,-0.7760859207721467,38.47888908637804
county_violent_crime_rate,or,broad,2018,2023,5,4,34,77,2498,1.5131384868507105,27.116851791127694
county_violent_crime_rate,or,broad,2018,2024,6,4,34,77,2498,6.030187176687754,28.358729399546544
county_violent_crime_rate,or,broad,2019,2009,-10,4,34,249,2498,-57.96579095768705,35.8473979158271
county_violent_crime_rate,or,broad,2019,2010,-9,4,34,249,2498,9.52864833117066,22.969842667989933
county_violent_crime_rate,or,broad,2019,2011,-8,4,34,249,2498,3.134286059121662,21.996433629974973
county_violent_crime_rate,or,broad,2019,2012,-7,4,34,249,2498,-1.8873669414758747,18.57509263043917
county_violent_crime_rate,or,broad,2019,2013,-6,4,34,249,2498,-10.237351433978693,14.561355506371061
county_violent_crime_rate,or,broad,2019,2014,-5,4,34,249,2498,-14.132419880652227,15.226936563680315
county_violent_crime_rate,or,broad,2019,2015,-4,4,34,249,2498,-15.094375054557156,14.517504727488504
county_violent_crime_rate,or,broad,2019,2016,-3,4,34,249,2498,-21.674681947591846,14.867457179427669
county_violent_crime_rate,or,broad,2019,2017,-2,4,34,249,2498,-5.810526321428565,17.25938202393771
county_violent_crime_rate,or,broad,2019,2019,0,4,34,249,2498,3.5185288910333927,10.908432713806384
county_violent_crime_rate,or,broad,2019,2020,1,4,34,249,2498,-34.04763000296496,11.659642489617802
county_violent_crime_rate,or,broad,2019,2021,2,4,34,249,2498,-92.13618220170594,38.19010953490049
county_violent_crime_rate,or,broad,2019,2022,3,4,34,249,2498,-35.28205160858622,31.236345015144625
county_violent_crime_rate,or,broad,2019,2023,4,4,34,249,2498,-20.533345035674373,18.785497026033408
county_violent_crime_rate,or,broad,2019,2024,5,4,34,249,2498,-17.725772910638693,14.64363423251145
county_violent_crime_rate,or,broad,2020,2009,-11,2,34,21,2498,-22.559371494684854,29.11522579654275
county_violent_crime_rate,or,broad,2020,2010,-10,2,34,21,2498,8.678966145079148,26.919952356540517
county_violent_crime_rate,or,broad,2020,2011,-9,2,34,21,2498,-47.59823881569943,42.81754554570456
county_violent_crime_rate,or,broad,2020,2012,-8,2,34,21,2498,44.62347396971134,14.419179520233293
county_violent_crime_rate,or,broad,2020,2013,-7,2,34,21,2498,-15.374844524318632,17.97555125932426
county_violent_crime_rate,or,broad,2020,2014,-6,2,34,21,2498,-46.0324483004834,20.661137705666775
county_violent_crime_rate,or,broad,2020,2015,-5,2,34,21,2498,-2.3862007285755205,20.969516838029172
county_violent_crime_rate,or,broad,2020,2016,-4,2,34,21,2498,-26.48507481580543,26.157784415335506
county_violent_crime_rate,or,broad,2020,2017,-3,2,34,21,2498,-63.684521311070654,38.798572049415355
county_violent_crime_rate,or,broad,2020,2018,-2,2,34,21,2498,-12.204245567226232,21.541759928937324
county_violent_crime_rate,or,broad,2020,2020,0,2,34,21,2498,-53.81568367037035,35.409733503048244
county_violent_crime_rate,or,broad,2020,2021,1,2,34,21,2498,-97.44370106464537,56.6076808346403
county_violent_crime_rate,or,broad,2020,2022,2,2,34,21,2498,-99.0462830473541,36.094936937845475
county_violent_crime_rate,or,broad,2020,2023,3,2,34,21,2498,-115.36353980887144,23.493060438913616
county_violent_crime_rate,or,broad,2020,2024,4,2,34,21,2498,-93.96811549331869,31.153328034605615
county_violent_crime_rate,or,broad,2023,2009,-14,1,34,14,2498,-89.39503304812294,13.190964977667695
county_violent_crime_rate,or,broad,2023,2010,-13,1,34,14,2498,-79.06842339832636,12.007926883667858
county_violent_crime_rate,or,broad,2023,2011,-12,1,34,14,2498,-53.75028040167507,11.666468100492908
county_violent_crime_rate,or,broad,2023,2012,-11,1,34,14,2498,-63.54354552670346,11.246662153253432
county_violent_crime_rate,or,broad,2023,2013,-10,1,34,14,2498,-66.95234104108118,11.324763880264337
county_violent_crime_rate,or,broad,2023,2014,-9,1,34,14,2498,-86.56553199965694,11.059034202330734
county_violent_crime_rate,or,broad,2023,2015,-8,1,34,14,2498,-85.979834116784,10.532724620896728
county_violent_crime_rate,or,broad,2023,2016,-7,1,34,14,2498,-89.0635079487678,10.481963138038825
county_violent_crime_rate,or,broad,2023,2017,-6,1,34,14,2498,-53.393071304223,11.002278835396854
county_violent_crime_rate,or,broad,2023,2018,-5,1,34,14,2498,-31.081706382977593,7.4270946374209785
county_violent_crime_rate,or,broad,2023,2019,-4,1,34,14,2498,1.8471006936524468,8.96081087787331
county_violent_crime_rate,or,broad,2023,2020,-3,1,34,14,2498,-46.77180491559609,9.294898292346046
county_violent_crime_rate,or,broad,2023,2021,-2,1,34,14,2498,-22.133263986359587,5.296001966222924
county_violent_crime_rate,or,broad,2023,2023,0,1,34,14,2498,3.1324388100130527,2.733189731804661
county_violent_crime_rate,or,broad,2023,2024,1,1,34,14,2498,19.305374081395964,4.173361927146378
county_violent_crime_rate,or,broad,2024,2009,-15,2,34,170,2498,-41.16046225336245,13.428994546310143
county_violent_crime_rate,or,broad,2024,2010,-14,2,34,170,2498,-27.791419616323786,12.923296718734123
county_violent_crime_rate,or,broad,2024,2011,-13,2,34,170,2498,-33.10396266946658,12.766951740772166
county_violent_crime_rate,or,broad,2024,2012,-12,2,34,170,2498,-31.307017333539346,12.42663235659306
county_violent_crime_rate,or,broad,2024,2013,-11,2,34,170,2498,-23.938997908237127,12.119065032766871
county_violent_crime_rate,or,broad,2024,2014,-10,2,34,170,2498,-21.785332874415406,11.510293728394553
county_violent_crime_rate,or,broad,2024,2015,-9,2,34,170,2498,-22.504579786419843,13.76663059156507
county_violent_crime_rate,or,broad,2024,2016,-8,2,34,170,2498,-26.7267131126463,29.284545260944974
county_violent_crime_rate,or,broad,2024,2017,-7,2,34,170,2498,-33.20528869989743,23.797526792468
county_violent_crime_rate,or,broad,2024,2018,-6,2,34,170,2498,-9.886585640500055,26.521463416497856
county_violent_crime_rate,or,broad,2024,2019,-5,2,34,170,2498,-3.6231130236854443,20.10178703725871
county_violent_crime_rate,or,broad,2024,2020,-4,2,34,170,2498,-11.893087891237293,22.269822446036894
county_violent_crime_rate,or,broad,2024,2021,-3,2,34,170,2498,6.071532011914112,6.866295797089299
county_violent_crime_rate,or,broad,2024,2022,-2,2,34,170,2498,-0.6385851204081021,9.63562856008149
county_violent_crime_rate,or,broad,2024,2024,0,2,34,170,2498,16.705451886104594,8.417232290947576
county_murder_rate,or,broad,2016,2009,-7,2,34,97,2498,0.0426781717936969,0.4155923045468716
county_murder_rate,or,broad,2016,2010,-6,2,34,97,2498,-0.18464254932857882,0.14694587493869074
county_murder_rate,or,broad,2016,2011,-5,2,34,97,2498,0.35185057825632227,0.183623044670566
county_murder_rate,or,broad,2016,2012,-4,2,34,97,2498,0.7601736584264315,0.2563675352829245
county_murder_rate,or,broad,2016,2013,-3,2,34,97,2498,0.5053915315876986,0.16301294263872715
county_murder_rate,or,broad,2016,2014,-2,2,34,97,2498,0.6713396154640743,0.40962972582713975
county_murder_rate,or,broad,2016,2016,0,2,34,97,2498,0.3341069028260978,0.1944262231911358
county_murder_rate,or,broad,2016,2017,1,2,34,97,2498,0.3849538708167758,0.21238550429033945
county_murder_rate,or,broad,2016,2018,2,2,34,97,2498,0.2927412872595711,0.23127705216516786
county_murder_rate,or,broad,2016,2019,3,2,34,97,2498,-0.0012104437202986595,0.21054793765318924
county_murder_rate,or,broad,2016,2020,4,2,34,97,2498,-0.271374197254836,0.3546910089886269
county_murder_rate,or,broad,2016,2021,5,2,34,97,2498,-2.6888610095896643,1.4592696923104023
county_murder_rate,or,broad,2016,2022,6,2,34,97,2498,-0.6139543545217173,0.9381620705127867
county_murder_rate,or,broad,2016,2023,7,2,34,97,2498,-0.6161207144437406,0.477181366328424
county_murder_rate,or,broad,2016,2024,8,2,34,97,2498,-0.3644828914725569,0.42724325049083983
county_murder_rate,or,broad,2018,2009,-9,4,34,77,2498,0.31642948262741155,0.5560586939577249
county_murder_rate,or,broad,2018,2010,-8,4,34,77,2498,1.2724708147645478,0.39760595937355214
county_murder_rate,or,broad,2018,2011,-7,4,34,77,2498,-0.0010850296992008235,0.2424222582885357
county_murder_rate,or,broad,2018,2012,-6,4,34,77,2498,0.30147711725063314,0.4708184448211751
county_murder_rate,or,broad,2018,2013,-5,4,34,77,2498,-0.017297908557143526,0.2582132070111805
county_murder_rate,or,broad,2018,2014,-4,4,34,77,2498,-0.12914759848582846,0.3967803304994705
county_murder_rate,or,broad,2018,2015,-3,4,34,77,2498,0.3740172170580057,0.39518794998686246
county_murder_rate,or,broad,2018,2016,-2,4,34,77,2498,0.2904253366031129,0.21154810799994783
county_murder_rate,or,broad,2018,2018,0,4,34,77,2498,-0.20560031008395002,0.16737957201408082
county_murder_rate,or,broad,2018,2019,1,4,34,77,2498,0.25385296043384653,0.2858651758030992
county_murder_rate,or,broad,2018,2020,2,4,34,77,2498,-0.367600194942041,0.3747478254432289
county_murder_rate,or,broad,2018,2021,3,4,34,77,2498,-1.3342811310881404,0.8683207699787172
county_murder_rate,or,broad,2018,2022,4,4,34,77,2498,-0.47445953168093924,0.3461467348878121
county_murder_rate,or,broad,2018,2023,5,4,34,77,2498,-0.09273314565082669,0.3529301702647664
county_murder_rate,or,broad,2018,2024,6,4,34,77,2498,-0.22107051827271648,0.4670055906689217
county_murder_rate,or,broad,2019,2009,-10,4,34,249,2498,-0.4270107290767357,0.2675423464173225
county_murder_rate,or,broad,2019,2010,-9,4,34,249,2498,-0.02759728942286388,0.28373237339083895
county_murder_rate,or,broad,2019,2011,-8,4,34,249,2498,0.21276719092273283,0.23443272110123145
county_murder_rate,or,broad,2019,2012,-7,4,34,249,2498,-0.10630997370864592,0.24810983821135743
county_murder_rate,or,broad,2019,2013,-6,4,34,249,2498,0.6533661538311959,0.23032725784349894
county_murder_rate,or,broad,2019,2014,-5,4,34,249,2498,0.9613146915997781,0.6056368361331727
county_murder_rate,or,broad,2019,2015,-4,4,34,249,2498,-0.3514899263956731,0.21013476988636376
county_murder_rate,or,broad,2019,2016,-3,4,34,249,2498,-0.22413412806431757,0.27544739980664384
county_murder_rate,or,broad,2019,2017,-2,4,34,249,2498,14.581310244469979,10.30968151087314
county_murder_rate,or,broad,2019,2019,0,4,34,249,2498,0.2877920284866353,0.3014031955817506
county_murder_rate,or,broad,2019,2020,1,4,34,249,2498,-0.9588766353045586,0.30478440151815245
county_murder_rate,or,broad,2019,2021,2,4,34,249,2498,-1.4759470771992438,0.7203693353015208
county_murder_rate,or,broad,2019,2022,3,4,34,249,2498,-0.8737847267660326,0.4338492225575076
county_murder_rate,or,broad,2019,2023,4,4,34,249,2498,-0.6659059898953074,0.3654023693886213
county_murder_rate,or,broad,2019,2024,5,4,34,249,2498,-0.6094861198048273,0.27275043454011183
county_murder_rate,or,broad,2020,2009,-11,2,34,21,2498,-2.3863871858057166,0.7449572844207222
county_murder_rate,or,broad,2020,2010,-10,2,34,21,2498,-2.7550251926395437,0.9094382849765565
county_murder_rate,or,broad,2020,2011,-9,2,34,21,2498,-1.5204514150159176,0.5168066025369248
county_murder_rate,or,broad,2020,2012,-8,2,34,21,2498,-0.6104816413180002,0.3209228712885387
county_murder_rate,or,broad,2020,2013,-7,2,34,21,2498,-2.2366644900957393,0.7981792006883052
county_murder_rate,or,broad,2020,2014,-6,2,34,21,2498,-1.9815137004814796,0.6599369772467113
county_murder_rate,or,broad,2020,2015,-5,2,34,21,2498,0.6984356257616126,0.20628725957408173
