outcome,spec,control_rule,event_time,att,se,n_cohorts,total_treated_counties,total_treated_states
county_burglary_rate,or,broad,-5,-23.654405712157196,11.687220123649443,6,628,15
county_burglary_rate,or,broad,-4,-7.15515213956107,8.374277376369259,6,628,15
county_burglary_rate,or,broad,-3,-1.8528300148788592,6.9121040129466715,6,628,15
county_burglary_rate,or,broad,-2,-4.926508354302338,4.746951447582479,6,628,15
county_burglary_rate,or,broad,0,13.720883184756762,5.85153927617809,6,628,15
county_burglary_rate,or,broad,1,8.938706421464742,13.424609412874087,5,458,13
county_burglary_rate,or,broad,2,-19.41785359025876,26.781819634183513,4,444,12
county_burglary_rate,or,broad,3,4.767039664449432,28.306320753857772,4,444,12
county_burglary_rate,or,broad,4,21.74302226533971,16.35753969776696,4,444,12
county_burglary_rate,or,broad,5,1.770054332641429,24.46344195779149,3,423,10
county_burglary_rate,or,strict,-5,-23.654405712157196,11.687220123649443,6,628,15
county_burglary_rate,or,strict,-4,-7.15515213956107,8.374277376369259,6,628,15
county_burglary_rate,or,strict,-3,-1.8528300148788592,6.9121040129466715,6,628,15
county_burglary_rate,or,strict,-2,-4.926508354302338,4.746951447582479,6,628,15
county_burglary_rate,or,strict,0,13.720883184756762,5.85153927617809,6,628,15
county_burglary_rate,or,strict,1,8.938706421464742,13.424609412874087,5,458,13
county_burglary_rate,or,strict,2,-19.41785359025876,26.781819634183513,4,444,12
county_burglary_rate,or,strict,3,4.767039664449432,28.306320753857772,4,444,12
county_burglary_rate,or,strict,4,21.74302226533971,16.35753969776696,4,444,12
county_burglary_rate,or,strict,5,1.770054332641429,24.46344195779149,3,423,10
county_burglary_rate,ra,broad,-5,-38.63786232021273,4.594900924633169,6,627,15
county_burglary_rate,ra,broad,-4,-18.65808337090519,4.136594333150708,6,627,15
county_burglary_rate,ra,broad,-3,-9.233845220824616,3.3685722265454623,6,627,15
county_burglary_rate,ra,broad,-2,-7.701571227904712,3.115610718096656,6,627,15
county_burglary_rate,ra,broad,0,16.247840368709028,3.204258907363903,6,627,15
county_burglary_rate,ra,broad,1,15.071516825121105,7.314120894529939,5,457,13
county_burglary_rate,ra,broad,2,-8.80165532166911,13.422874007399084,4,443,12
county_burglary_rate,ra,broad,3,20.750376268850825,15.87872135924923,4,443,12
