outcome,spec,tier,att,se,z,n,n_clusters
firearm_suicide_rate,unweighted,all,-0.6125890331147671,0.19893681315891246,-3.079314599381994,1587,44
firearm_suicide_rate,ra,minimal,-0.061080972589047086,0.17341022410899237,-0.3522339752623598,1587,44
firearm_suicide_rate,eb,minimal,-0.6125890331147671,0.19893681315891246,-3.079314599381994,1587,44
firearm_suicide_rate,eb,headline,-0.6125890331147671,0.19893681315891246,-3.079314599381994,1587,44
firearm_suicide_rate,eb,expanded,-0.6125890331147671,0.19893681315891246,-3.079314599381994,1587,44
nonfirearm_suicide_rate,unweighted,all,-0.05773381006712579,0.15589694520131864,-0.3703331710096745,1587,44
nonfirearm_suicide_rate,ra,minimal,0.19805786196931016,0.21433783563380135,0.924045264260736,1587,44
nonfirearm_suicide_rate,eb,minimal,-0.05773381006712579,0.15589694520131864,-0.3703331710096745,1587,44
nonfirearm_suicide_rate,eb,headline,-0.05773381006712579,0.15589694520131864,-0.3703331710096745,1587,44
nonfirearm_suicide_rate,eb,expanded,-0.05773381006712579,0.15589694520131864,-0.3703331710096745,1587,44
total_suicide_rate,unweighted,all,-0.6703228431818936,0.2656092452798208,-2.523718037283321,1587,44
total_suicide_rate,ra,minimal,0.1369768893802627,0.28720380451643684,0.4769327119844035,1587,44
total_suicide_rate,eb,minimal,-0.6703228431818936,0.2656092452798208,-2.523718037283321,1587,44
total_suicide_rate,eb,headline,-0.6703228431818936,0.2656092452798208,-2.523718037283321,1587,44
total_suicide_rate,eb,expanded,-0.6703228431818936,0.2656092452798208,-2.523718037283321,1587,44
firearm_homicide_rate,unweighted,all,-0.7344678509284842,0.31704809925869304,-2.316581782530103,1581,44
firearm_homicide_rate,ra,minimal,-1.0417256892897924,0.3648966523805535,-2.854851318842379,1581,44
firearm_homicide_rate,eb,minimal,-0.7344678509284842,0.31704809925869304,-2.316581782530103,1581,44
firearm_homicide_rate,eb,headline,-0.7344678509284842,0.31704809925869304,-2.316581782530103,1581,44
firearm_homicide_rate,eb,expanded,-0.7344678509284842,0.31704809925869304,-2.316581782530103,1581,44
homicide_rate,unweighted,all,-0.5748414482982432,0.24707922103074828,-2.32654711270401,1587,44
homicide_rate,ra,minimal,-1.3165187957377276,0.40769285952307893,-3.2291926752845206,1587,44
homicide_rate,eb,minimal,-0.5748414482982432,0.24707922103074828,-2.32654711270401,1587,44
homicide_rate,eb,headline,-0.5748414482982432,0.24707922103074828,-2.32654711270401,1587,44
homicide_rate,eb,expanded,-0.5748414482982432,0.24707922103074828,-2.32654711270401,1587,44
motor_vehicle_theft_rate,unweighted,all,28.04388510114367,22.824043471961833,1.2286992502268121,1587,44
motor_vehicle_theft_rate,ra,minimal,13.648205185400942,29.83082161986119,0.4575202573808441,1587,44
motor_vehicle_theft_rate,eb,minimal,28.04388510114367,22.824043471961833,1.2286992502268121,1587,44
motor_vehicle_theft_rate,eb,headline,28.04388510114367,22.824043471961833,1.2286992502268121,1587,44
motor_vehicle_theft_rate,eb,expanded,28.04388510114367,22.824043471961833,1.2286992502268121,1587,44
