event_time,beta,se,z,n,omitted,outcome,spec,tier
-5,0.8350172430743422,0.22607627726600424,3.6935199622552624,1587,False,firearm_suicide_rate,unweighted,all
-4,0.6228038232364538,0.20187619801279202,3.0850780298378186,1587,False,firearm_suicide_rate,unweighted,all
-3,0.10893889476222018,0.18266425148407892,0.5963886960756267,1587,False,firearm_suicide_rate,unweighted,all
-2,0.19089186347138792,0.1693052186930981,1.1275013549193675,1587,False,firearm_suicide_rate,unweighted,all
-1,0.0,0.0,0.0,0,True,firearm_suicide_rate,unweighted,all
0,-0.189387745752613,0.11428311286588716,-1.6571804967796264,1587,False,firearm_suicide_rate,unweighted,all
1,-0.21968790525441434,0.20299315397758363,-1.0822429276539753,1587,False,firearm_suicide_rate,unweighted,all
2,-0.3410282257163854,0.19642873736676916,-1.7361422279043721,1587,False,firearm_suicide_rate,unweighted,all
3,-0.218323364146016,0.17239762238803388,-1.2663942873563077,1587,False,firearm_suicide_rate,unweighted,all
4,-0.4691664491382395,0.1605518049362529,-2.9222122375050352,1587,False,firearm_suicide_rate,unweighted,all
5,-0.8310863428941498,0.30487965244424114,-2.725948866155132,1587,False,firearm_suicide_rate,unweighted,all
-5,0.4765787054548418,0.2035809170074283,2.3409792649546435,1587,False,firearm_suicide_rate,ra,minimal
-4,0.31191381485973263,0.1495309700889687,2.0859479121559135,1587,False,firearm_suicide_rate,ra,minimal
-3,-0.1782060095546673,0.17515683441048005,-1.0174082567457317,1587,False,firearm_suicide_rate,ra,minimal
-2,-0.09485417603969036,0.17978069570150454,-0.5276104626782605,1587,False,firearm_suicide_rate,ra,minimal
-1,0.0,0.0,0.0,0,True,firearm_suicide_rate,ra,minimal
0,-0.3242007245106518,0.12378636771117556,-2.619034151378388,1587,False,firearm_suicide_rate,ra,minimal
1,-0.09336956822944072,0.22029376853576707,-0.4238411683183002,1587,False,firearm_suicide_rate,ra,minimal
2,0.08328969284221399,0.1541633423094191,0.5402691171228268,1587,False,firearm_suicide_rate,ra,minimal
3,0.20796482532476393,0.16923111808667368,1.228880525496808,1587,False,firearm_suicide_rate,ra,minimal
4,0.06475671045116022,0.1927032582246255,0.336043671745686,1587,False,firearm_suicide_rate,ra,minimal
