estimator,policy,control_rule,spec,event_time,M_sensitivity,att_original,se_original,pre_trend_slope_b_hat,pre_trend_slope_se,att_trend_adjusted,ci_half_width,ci_low,ci_high,ci_includes_zero
cs21,age21_handgun,broad,or,0,0.0,0.6034735854234419,0.2474893173511352,0.2538414806392024,0.0791457712712469,0.6034735854234419,0.485079062008225,0.1183945234152168,1.088552647431667,False
cs21,age21_handgun,broad,or,0,0.5,0.6034735854234419,0.2474893173511352,0.2538414806392024,0.0791457712712469,0.4765528451038406,0.4912409724419769,-0.0146881273381362,0.9677938175458176,True
cs21,age21_handgun,broad,or,0,1.0,0.6034735854234419,0.2474893173511352,0.2538414806392024,0.0791457712712469,0.3496321047842394,0.5092795723633714,-0.1596474675791319,0.8589116771476109,True
cs21,age21_handgun,broad,or,0,2.0,0.6034735854234419,0.2474893173511352,0.2538414806392024,0.0791457712712469,0.095790624145037,0.5758104220228525,-0.4800197978778154,0.6716010461678895,True
cs21,age21_handgun,broad,or,1,0.0,0.0027706555756736,0.2235677112858541,0.2538414806392024,0.0791457712712469,0.0027706555756736,0.438192714120274,-0.4354220585446004,0.4409633696959475,True
cs21,age21_handgun,broad,or,1,0.5,0.0027706555756736,0.2235677112858541,0.2538414806392024,0.0791457712712469,-0.2510708250635288,0.4648406620939386,-0.7159114871574674,0.2137698370304097,True
cs21,age21_handgun,broad,or,1,1.0,0.0027706555756736,0.2235677112858541,0.2538414806392024,0.0791457712712469,-0.5049123057027313,0.5369066961953896,-1.0418190018981208,0.0319943904926582,True
cs21,age21_handgun,broad,or,1,2.0,0.0027706555756736,0.2235677112858541,0.2538414806392024,0.0791457712712469,-1.012595266981136,0.7596292763931082,-1.7722245433742445,-0.2529659905880278,False
cs21,age21_handgun,broad,or,2,0.0,0.41298706855111,0.3260338784544803,0.2538414806392024,0.0791457712712469,0.41298706855111,0.6390264017707813,-0.2260393332196713,1.0520134703218913,True
cs21,age21_handgun,broad,or,2,0.5,0.41298706855111,0.3260338784544803,0.2538414806392024,0.0791457712712469,0.0322248475923063,0.6800725782023195,-0.6478477306100131,0.7122974257946258,True
