estimator,policy,outcome,control_rule,spec,pre_trend_slope_b_hat,pre_trend_slope_se,att_e1_original,ci_e1_M0,att_e1_M1,ci_e1_M1,ci_M1_includes_zero,att_e1_M2,ci_e1_M2,ci_M2_includes_zero
cs21,permitless_carry,firearm_suicide_rate,broad,ra,0.03919840787577802,0.09243691633565052,0.5353719469026217,"(+0.350, +0.721)",0.45697513115106564,"(+0.050, +0.864)",False,0.3785783153995096,"(-0.369, +1.127)",True
cs21,permitless_carry,firearm_suicide_rate,strict,ra,0.004704574979997895,0.07284831548387062,0.4858352385343553,"(+0.276, +0.696)",0.4764260885743595,"(+0.122, +0.831)",False,0.4670169386143637,"(-0.141, +1.076)",True
cs21,permitless_carry,firearm_suicide_rate,broad,or,0.09499284869128269,0.09611475691007343,0.5670514274251726,"(+0.261, +0.873)",0.3770657300426072,"(-0.108, +0.862)",True,0.1870800326600418,"(-0.626, +1.000)",True
cs21,permitless_carry,firearm_suicide_rate,strict,or,0.03742096720304078,0.09441249090831418,0.4478214797004198,"(+0.137, +0.758)",0.37297954529433824,"(-0.110, +0.856)",True,0.2981376108882567,"(-0.505, +1.101)",True
cs21,red_flag,firearm_suicide_rate,broad,ra,-0.13838986756909163,0.13389247134165327,-0.0866631369155634,"(-0.330, +0.157)",0.19011659822261986,"(-0.388, +0.769)",True,0.46689633336080316,"(-0.611, +1.544)",True
cs21,red_flag,firearm_suicide_rate,strict,ra,-0.16834701982174471,0.140026343642272,-0.3377946811282206,"(-0.664, -0.012)",-0.0011006414847311574,"(-0.640, +0.637)",True,0.33559339815875827,"(-0.810, +1.481)",True
cs21,red_flag,firearm_suicide_rate,broad,or,-0.21446987036009582,0.08375935292771329,-0.1208963438341189,"(-0.453, +0.211)",0.30804339688607274,"(-0.159, +0.775)",True,0.7369831376062643,"(+0.001, +1.473)",False
cs21,red_flag,firearm_suicide_rate,strict,or,-0.23482800642404408,0.08332395676280192,-0.1380192816342474,"(-0.491, +0.215)",0.33163673121384074,"(-0.149, +0.813)",True,0.801292744061929,"(+0.059, +1.544)",False
cs21,ubc,firearm_suicide_rate,broad,ra,-0.01233283517361129,0.08166693580066216,-0.2127353563866462,"(-0.493, +0.068)",-0.18806968603942362,"(-0.614, +0.237)",True,-0.16340401569220103,"(-0.862, +0.536)",True
cs21,ubc,firearm_suicide_rate,broad,or,-0.09731916770992308,0.07577078437384366,-0.0969005323447374,"(-0.356, +0.162)",0.09773780307510875,"(-0.297, +0.492)",True,0.2923761384949549,"(-0.356, +0.941)",True
cs21,assault_weapons_ban,firearm_suicide_rate,broad,ra,-0.11061926112571517,0.13713908585383294,0.3120626720860039,"(+0.312, +0.312)",0.5333011943374343,"(-0.004, +1.071)",True,0.7545397165888645,"(-0.321, +1.830)",True
cs21,assault_weapons_ban,firearm_suicide_rate,strict,ra,-0.18210320857727164,0.138207849425516,0.3060573820174006,"(+0.306, +0.306)",0.6702637991719439,"(+0.128, +1.212)",False,1.0344702163264872,"(-0.049, +2.118)",True
cs21,assault_weapons_ban,firearm_suicide_rate,broad,or,-0.15275586853261192,0.09006126334898189,-0.094798145573299,"(-0.095, -0.095)",0.2107135914919248,"(-0.142, +0.564)",True,0.5162253285571486,"(-0.190, +1.222)",True
cs21,assault_weapons_ban,firearm_suicide_rate,strict,or,-0.1743828756422214,0.09129199642205006,-0.0862457177543072,"(-0.086, -0.086)",0.26252003353013564,"(-0.095, +0.620)",True,0.6112857848145784,"(-0.104, +1.327)",True
