outcome,spec,control_rule,tier,g_cohort,t_year,event_time,n_treated,n_control,att,se
firearm_suicide_rate,or,broad,all,2005,1999,-6,1,21,0.20714369325379084,
firearm_suicide_rate,or,broad,all,2005,2000,-5,1,21,0.4452098995486168,
firearm_suicide_rate,or,broad,all,2005,2001,-4,1,21,0.37420169319042945,
firearm_suicide_rate,or,broad,all,2005,2002,-3,1,21,0.3315285338069203,
firearm_suicide_rate,or,broad,all,2005,2003,-2,1,21,0.6507224378195178,
firearm_suicide_rate,or,broad,all,2005,2005,0,1,21,-0.05798221307385665,
firearm_suicide_rate,or,broad,all,2005,2006,1,1,21,0.24322057206360614,
firearm_suicide_rate,or,broad,all,2005,2007,2,1,21,0.3852565871645448,
firearm_suicide_rate,or,broad,all,2005,2008,3,1,21,0.8144510272673497,
firearm_suicide_rate,or,broad,all,2005,2009,4,1,21,0.8990550866880682,
firearm_suicide_rate,or,broad,all,2005,2010,5,1,21,0.4498076124881647,
firearm_suicide_rate,or,broad,all,2005,2011,6,1,21,0.4099221550242831,
firearm_suicide_rate,or,broad,all,2005,2012,7,1,21,0.5601638854619927,
firearm_suicide_rate,or,broad,all,2005,2013,8,1,21,0.36923260313951467,
firearm_suicide_rate,or,broad,all,2005,2014,9,1,21,0.04520875401660562,
firearm_suicide_rate,or,broad,all,2005,2015,10,1,21,0.27263503398982236,
firearm_suicide_rate,or,broad,all,2005,2016,11,1,21,0.21224801138466964,
firearm_suicide_rate,or,broad,all,2005,2017,12,1,21,0.1028336982349618,
firearm_suicide_rate,or,broad,all,2005,2018,13,1,21,0.5628313749884621,
firearm_suicide_rate,or,broad,all,2005,2019,14,1,21,0.2847745032053435,
firearm_suicide_rate,or,broad,all,2005,2020,15,1,21,-0.21771260693333194,
firearm_suicide_rate,or,broad,all,2005,2021,16,1,21,0.11478974633004202,
firearm_suicide_rate,or,broad,all,2005,2022,17,1,21,0.12069411853305057,
firearm_suicide_rate,or,broad,all,2005,2023,18,1,21,0.4255919193520099,
firearm_suicide_rate,or,broad,all,2006,1999,-7,11,21,-0.31674573708961323,0.3190650530151508
firearm_suicide_rate,or,broad,all,2006,2000,-6,11,21,-0.4648952648594062,0.3069513489646239
firearm_suicide_rate,or,broad,all,2006,2001,-5,11,21,-0.5738803596338349,0.37748038597397243
firearm_suicide_rate,or,broad,all,2006,2002,-4,11,21,-0.28448451446560225,0.32720709517793467
firearm_suicide_rate,or,broad,all,2006,2003,-3,11,21,0.07399598206377694,0.27865679193202886
firearm_suicide_rate,or,broad,all,2006,2004,-2,11,21,-0.23284869216823945,0.23469270499603578
firearm_suicide_rate,or,broad,all,2006,2006,0,11,21,0.17199628876468165,0.18312700557344558
firearm_suicide_rate,or,broad,all,2006,2007,1,11,21,-0.11018667565203544,0.3828646440686422
firearm_suicide_rate,or,broad,all,2006,2008,2,11,21,0.102765584808054,0.1927384579508872
firearm_suicide_rate,or,broad,all,2006,2009,3,11,21,0.028764938091992265,0.3542194098372111
firearm_suicide_rate,or,broad,all,2006,2010,4,11,21,-0.10624274060872274,0.32365385857243584
firearm_suicide_rate,or,broad,all,2006,2011,5,11,21,0.039493668598751364,0.44513077993416383
firearm_suicide_rate,or,broad,all,2006,2012,6,11,21,0.6159889703061794,0.3263466719554172
firearm_suicide_rate,or,broad,all,2006,2013,7,11,21,0.3255409785664971,0.35622466686008714
firearm_suicide_rate,or,broad,all,2006,2014,8,11,21,0.3564298302665312,0.33653158718606724
firearm_suicide_rate,or,broad,all,2006,2015,9,11,21,0.5203271978273589,0.4042499423205516
firearm_suicide_rate,or,broad,all,2006,2016,10,11,21,0.863096200988811,0.4504111635789547
firearm_suicide_rate,or,broad,all,2006,2017,11,11,21,0.717601590503512,0.41789917396449733
firearm_suicide_rate,or,broad,all,2006,2018,12,11,21,0.871930026798061,0.3592954768420236
firearm_suicide_rate,or,broad,all,2006,2019,13,11,21,0.7661458157100374,0.3619816232906025
firearm_suicide_rate,or,broad,all,2006,2020,14,11,21,0.891235470544353,0.5064809590842602
firearm_suicide_rate,or,broad,all,2006,2021,15,11,21,1.260201536248121,0.4754296529484736
firearm_suicide_rate,or,broad,all,2006,2022,16,11,21,1.0804461063714577,0.46182323564392785
firearm_suicide_rate,or,broad,all,2006,2023,17,11,21,1.0928496856279146,0.49027342586093636
firearm_suicide_rate,or,broad,all,2007,1999,-8,2,21,-0.5772311157725449,0.351426964237894
firearm_suicide_rate,or,broad,all,2007,2000,-7,2,21,-0.4896107147073379,0.40768175919298966
firearm_suicide_rate,or,broad,all,2007,2001,-6,2,21,-0.5053651303883632,0.7137087293810154
firearm_suicide_rate,or,broad,all,2007,2002,-5,2,21,-0.3389640173193796,0.3465790738503739
firearm_suicide_rate,or,broad,all,2007,2003,-4,2,21,-0.3528330769453191,0.5632698212730338
firearm_suicide_rate,or,broad,all,2007,2004,-3,2,21,-0.4904851918196841,0.30428356765933257
firearm_suicide_rate,or,broad,all,2007,2005,-2,2,21,0.03430315936204466,0.23816825801223931
firearm_suicide_rate,or,broad,all,2007,2007,0,2,21,-0.23254277572199922,0.3252304626184131
firearm_suicide_rate,or,broad,all,2007,2008,1,2,21,0.22716687392373747,0.12590562820981152
firearm_suicide_rate,or,broad,all,2007,2009,2,2,21,-0.24939027849200868,0.4242377498550663
firearm_suicide_rate,or,broad,all,2007,2010,3,2,21,-0.2503373398863391,0.5220479184810453
firearm_suicide_rate,or,broad,all,2007,2011,4,2,21,-0.4743023406694662,0.4585774808565729
firearm_suicide_rate,or,broad,all,2007,2012,5,2,21,-0.22943586903103586,0.3325514996775602
firearm_suicide_rate,or,broad,all,2007,2013,6,2,21,-0.03159991945729357,0.22448207451777902
firearm_suicide_rate,or,broad,all,2007,2014,7,2,21,-0.41133173544575663,0.2996177257123547
firearm_suicide_rate,or,broad,all,2007,2015,8,2,21,-0.2657183840047628,0.568222108080908
firearm_suicide_rate,or,broad,all,2007,2016,9,2,21,-0.1673913390115147,0.39006799392491676
firearm_suicide_rate,or,broad,all,2007,2017,10,2,21,0.037353215528628914,0.41510924084886885
firearm_suicide_rate,or,broad,all,2007,2018,11,2,21,-0.13389782764050961,0.6242248891377041
firearm_suicide_rate,or,broad,all,2007,2019,12,2,21,0.22599817930033161,0.35842553296627394
firearm_suicide_rate,or,broad,all,2007,2020,13,2,21,0.32534470185630715,0.332856598009029
firearm_suicide_rate,or,broad,all,2007,2021,14,2,21,0.4410670057612043,0.4332161517014249
firearm_suicide_rate,or,broad,all,2007,2022,15,2,21,0.5650678568852343,0.43737151444707006
firearm_suicide_rate,or,broad,all,2007,2023,16,2,21,0.8313764817180394,0.350924427661493
firearm_suicide_rate,or,broad,all,2008,1999,-9,1,21,-2.3488194868036176,
firearm_suicide_rate,or,broad,all,2008,2000,-8,1,21,-2.072065768091534,
firearm_suicide_rate,or,broad,all,2008,2001,-7,1,21,-0.8443110950924022,
firearm_suicide_rate,or,broad,all,2008,2002,-6,1,21,-1.1770617440186628,
firearm_suicide_rate,or,broad,all,2008,2003,-5,1,21,-0.7703704221527348,
firearm_suicide_rate,or,broad,all,2008,2004,-4,1,21,-0.9697072324421196,
firearm_suicide_rate,or,broad,all,2008,2005,-3,1,21,-0.9296935394599434,
firearm_suicide_rate,or,broad,all,2008,2006,-2,1,21,-1.3595007042338865,
firearm_suicide_rate,or,broad,all,2008,2008,0,1,21,-1.9916289729196428,
firearm_suicide_rate,or,broad,all,2008,2009,1,1,21,-1.9233531389123888,
firearm_suicide_rate,or,broad,all,2008,2010,2,1,21,-0.61405238078263,
firearm_suicide_rate,or,broad,all,2008,2011,3,1,21,-1.2923154407429274,
firearm_suicide_rate,or,broad,all,2008,2012,4,1,21,-1.4555085114139257,
firearm_suicide_rate,or,broad,all,2008,2013,5,1,21,-0.16925975638226576,
firearm_suicide_rate,or,broad,all,2008,2014,6,1,21,-0.6217420548444823,
firearm_suicide_rate,or,broad,all,2008,2015,7,1,21,-0.7730407637349139,
firearm_suicide_rate,or,broad,all,2008,2016,8,1,21,0.43491214715460624,
firearm_suicide_rate,or,broad,all,2008,2017,9,1,21,1.9324067418059938,
firearm_suicide_rate,or,broad,all,2008,2018,10,1,21,1.3562060153581084,
firearm_suicide_rate,or,broad,all,2008,2019,11,1,21,-1.8600082962530038,
firearm_suicide_rate,or,broad,all,2008,2020,12,1,21,-0.5148088363034717,
firearm_suicide_rate,or,broad,all,2008,2021,13,1,21,-0.6669856384336303,
firearm_suicide_rate,or,broad,all,2008,2022,14,1,21,-0.8562789182323027,
firearm_suicide_rate,or,broad,all,2008,2023,15,1,21,0.3796911315788094,
firearm_suicide_rate,or,broad,all,2009,1999,-10,1,21,-3.111585851211203,
firearm_suicide_rate,or,broad,all,2009,2000,-9,1,21,-1.952131348175026,
firearm_suicide_rate,or,broad,all,2009,2001,-8,1,21,0.8362845503057248,
firearm_suicide_rate,or,broad,all,2009,2002,-7,1,21,-1.1772927310672812,
firearm_suicide_rate,or,broad,all,2009,2003,-6,1,21,-0.48103465471278306,
firearm_suicide_rate,or,broad,all,2009,2004,-5,1,21,-2.4365118756759334,
firearm_suicide_rate,or,broad,all,2009,2005,-4,1,21,0.9481672250232559,
firearm_suicide_rate,or,broad,all,2009,2006,-3,1,21,-2.5783503354568693,
firearm_suicide_rate,or,broad,all,2009,2007,-2,1,21,-0.9585989921654285,
firearm_suicide_rate,or,broad,all,2009,2009,0,1,21,0.07083841972320548,
firearm_suicide_rate,or,broad,all,2009,2010,1,1,21,0.13051707369411164,
firearm_suicide_rate,or,broad,all,2009,2011,2,1,21,0.9822877362020236,
firearm_suicide_rate,or,broad,all,2009,2012,3,1,21,0.9214924748138913,
firearm_suicide_rate,or,broad,all,2009,2013,4,1,21,0.003946685934407723,
firearm_suicide_rate,or,broad,all,2009,2014,5,1,21,0.03409534466850317,
firearm_suicide_rate,or,broad,all,2009,2015,6,1,21,2.2400419351835907,
firearm_suicide_rate,or,broad,all,2009,2016,7,1,21,0.80327939940696,
firearm_suicide_rate,or,broad,all,2009,2017,8,1,21,5.33153436711118,
firearm_suicide_rate,or,broad,all,2009,2018,9,1,21,0.012861123656521478,
firearm_suicide_rate,or,broad,all,2009,2019,10,1,21,1.1232689874883857,
firearm_suicide_rate,or,broad,all,2009,2020,11,1,21,2.4761802763032237,
firearm_suicide_rate,or,broad,all,2009,2021,12,1,21,6.046272457467007,
firearm_suicide_rate,or,broad,all,2009,2022,13,1,21,4.096159876925041,
