outcome,spec,control_rule,event_time,att,se,n_cohorts,total_treated_states
firearm_homicide_rate,or,broad,-5,0.1742710831110838,0.13469670193633113,13,29
firearm_homicide_rate,or,broad,-4,0.10917602452052544,0.10545893980322125,13,29
firearm_homicide_rate,or,broad,-3,0.12971610373070605,0.10653626193921441,13,29
firearm_homicide_rate,or,broad,-2,0.0998067450640394,0.09649737996955383,13,29
firearm_homicide_rate,or,broad,0,0.20833351966568137,0.08952203840181391,13,29
firearm_homicide_rate,or,broad,1,0.461647553226601,0.09624799461320502,13,29
firearm_homicide_rate,or,broad,2,0.39369153173275867,0.1249518884745354,13,29
firearm_homicide_rate,or,broad,3,0.30419064409823643,0.09200247197024056,12,27
firearm_homicide_rate,or,broad,4,0.17842207530326282,0.10711297231772464,12,27
firearm_homicide_rate,or,broad,5,0.2419194607154763,0.1460553795987954,11,26
firearm_homicide_rate,or,strict,-5,0.18646971772831217,0.13559851478624532,13,29
firearm_homicide_rate,or,strict,-4,0.11529228610689655,0.10951586838259517,13,29
firearm_homicide_rate,or,strict,-3,0.1334832492017241,0.10564620060862061,13,29
firearm_homicide_rate,or,strict,-2,0.10473271587068965,0.09681693176820635,13,29
firearm_homicide_rate,or,strict,0,0.20417097625272224,0.09034310123394952,13,29
firearm_homicide_rate,or,strict,1,0.4635397640103449,0.09534921507929817,13,29
firearm_homicide_rate,or,strict,2,0.3854852903601634,0.12499975239825098,13,29
firearm_homicide_rate,or,strict,3,0.3040696259772905,0.09604919301461379,12,27
firearm_homicide_rate,or,strict,4,0.1728874442762183,0.11186716176594522,12,27
firearm_homicide_rate,or,strict,5,0.23897541025961538,0.14824738000513185,11,26
firearm_homicide_rate,ra,broad,-5,0.044291264506000336,0.08323398989144949,13,29
firearm_homicide_rate,ra,broad,-4,-0.042674574492810334,0.06857060639855783,13,29
firearm_homicide_rate,ra,broad,-3,-0.02285484884695247,0.0579094364682485,13,29
firearm_homicide_rate,ra,broad,-2,-0.0188620358169585,0.05678445099794114,13,29
firearm_homicide_rate,ra,broad,0,0.19908474008728116,0.058932495443201734,13,29
firearm_homicide_rate,ra,broad,1,0.48408043860547595,0.06456830806744916,13,29
firearm_homicide_rate,ra,broad,2,0.34668239332685274,0.07487874295028196,13,29
firearm_homicide_rate,ra,broad,3,0.15910570427449897,0.06942651267930743,12,27
firearm_homicide_rate,ra,broad,4,0.16110215065678213,0.07013129492950004,12,27
firearm_homicide_rate,ra,broad,5,0.1502462524119603,0.09158801938028456,11,26
firearm_homicide_rate,ra,strict,-5,0.08770533783367404,0.08369925807029442,13,29
firearm_homicide_rate,ra,strict,-4,-0.031191072300854678,0.06831198518188744,13,29
firearm_homicide_rate,ra,strict,-3,-0.030680146221633342,0.06011359944631275,13,29
firearm_homicide_rate,ra,strict,-2,-0.009523484645826238,0.06183937558574358,13,29
firearm_homicide_rate,ra,strict,0,0.20057072240093965,0.06387428761747126,13,29
firearm_homicide_rate,ra,strict,1,0.4751060537970725,0.06733935086773345,13,29
firearm_homicide_rate,ra,strict,2,0.3308350602519036,0.08041158130985206,13,29
firearm_homicide_rate,ra,strict,3,0.16030054297141796,0.07606952896367324,12,27
firearm_homicide_rate,ra,strict,4,0.16797404998921833,0.07834111036475092,12,27
firearm_homicide_rate,ra,strict,5,0.15033513003792404,0.10002575660810624,11,26
firearm_suicide_rate,or,broad,-5,-0.4323706986761147,0.16516496846670972,13,29
firearm_suicide_rate,or,broad,-4,-0.309069098128446,0.15076903152013782,13,29
firearm_suicide_rate,or,broad,-3,-0.14003410942364516,0.12262095399867119,13,29
firearm_suicide_rate,or,broad,-2,-0.31563708124153694,0.11515820685679438,13,29
firearm_suicide_rate,or,broad,0,0.1718042305263012,0.12534738502438614,13,29
firearm_suicide_rate,or,broad,1,0.052567725815242425,0.20979674080619884,13,29
firearm_suicide_rate,or,broad,2,0.35588747061420534,0.1461372716992616,13,29
firearm_suicide_rate,or,broad,3,0.3169197428742302,0.2381555833700778,12,27
firearm_suicide_rate,or,broad,4,0.04831392758358357,0.14840401911850779,12,27
firearm_suicide_rate,or,broad,5,0.2889929334689336,0.2006798619618494,11,26
firearm_suicide_rate,or,strict,-5,-0.4513311489202005,0.16723258993055817,13,29
firearm_suicide_rate,or,strict,-4,-0.3327447256861722,0.15414723514871315,13,29
firearm_suicide_rate,or,strict,-3,-0.15826017911513032,0.12462891665524045,13,29
firearm_suicide_rate,or,strict,-2,-0.3387013002330082,0.11307750098949114,13,29
firearm_suicide_rate,or,strict,0,0.16739359158020672,0.1261992578611142,13,29
firearm_suicide_rate,or,strict,1,0.04954795357675654,0.207466998545621,13,29
firearm_suicide_rate,or,strict,2,0.35232688760065145,0.1451369514518606,13,29
firearm_suicide_rate,or,strict,3,0.31668868757668905,0.23896302072261044,12,27
firearm_suicide_rate,or,strict,4,0.09603650382488003,0.14749134148157875,12,27
firearm_suicide_rate,or,strict,5,0.32974281463909416,0.20463424728108498,11,26
firearm_suicide_rate,ra,broad,-5,-0.35505782737805824,0.11101342121370458,13,29
firearm_suicide_rate,ra,broad,-4,-0.43128034604389753,0.11990993391643615,13,29
firearm_suicide_rate,ra,broad,-3,-0.23920818360762985,0.1133501526951991,13,29
firearm_suicide_rate,ra,broad,-2,-0.26809545205512175,0.08053608304858142,13,29
firearm_suicide_rate,ra,broad,0,0.11299848150887236,0.07884459116017155,13,29
firearm_suicide_rate,ra,broad,1,-0.08154534833818736,0.11478184310955072,13,29
firearm_suicide_rate,ra,broad,2,0.2577813161460839,0.0855561801043955,13,29
firearm_suicide_rate,ra,broad,3,0.11588145436388507,0.1331376854008313,12,27
firearm_suicide_rate,ra,broad,4,-0.15779535474398723,0.10157235165483255,12,27
firearm_suicide_rate,ra,broad,5,0.05837037280793777,0.11237779736995272,11,26
firearm_suicide_rate,ra,strict,-5,-0.36381707626436954,0.11230548046494254,13,29
firearm_suicide_rate,ra,strict,-4,-0.4933420235845498,0.12473216482424784,13,29
firearm_suicide_rate,ra,strict,-3,-0.29074652902766296,0.11719308471060631,13,29
firearm_suicide_rate,ra,strict,-2,-0.32969559035522616,0.08008161875187919,13,29
firearm_suicide_rate,ra,strict,0,0.08724720410053269,0.08208289074561809,13,29
firearm_suicide_rate,ra,strict,1,-0.1052473193985139,0.12027677757464478,13,29
firearm_suicide_rate,ra,strict,2,0.21709256756194692,0.08388245985595719,13,29
firearm_suicide_rate,ra,strict,3,0.05971657313584754,0.14104096514615488,12,27
firearm_suicide_rate,ra,strict,4,-0.11629434530759686,0.1065496084881897,12,27
firearm_suicide_rate,ra,strict,5,0.060663352363880194,0.11605973839282338,11,26
homicide_rate,or,broad,-5,0.21023442350430593,0.16019739248457204,13,29
homicide_rate,or,broad,-4,0.023543554472143985,0.17657849954569257,13,29
homicide_rate,or,broad,-3,0.1822632286305185,0.1657806675754022,13,29
homicide_rate,or,broad,-2,0.11416788695324065,0.1648945522385247,13,29
homicide_rate,or,broad,0,0.21479594229415683,0.13271178678931964,13,29
homicide_rate,or,broad,1,0.46222260714057056,0.16936444198273734,13,29
homicide_rate,or,broad,2,0.3311187672660908,0.15115119344231945,13,29
homicide_rate,or,broad,3,0.31308640961872686,0.1523764478670941,12,27
homicide_rate,or,broad,4,-0.002722875995099198,0.14641566036904094,12,27
homicide_rate,or,broad,5,0.18777327179314768,0.16316668273482554,11,26
homicide_rate,or,strict,-5,0.2265254649741125,0.16274869479276524,13,29
homicide_rate,or,strict,-4,0.02599852480462532,0.1747269709390946,13,29
homicide_rate,or,strict,-3,0.18615448500294102,0.1674485034956109,13,29
homicide_rate,or,strict,-2,0.10852753423079903,0.16760009134338816,13,29
homicide_rate,or,strict,0,0.20887462027026138,0.13276286558732417,13,29
homicide_rate,or,strict,1,0.4612185273797902,0.16962797588260242,13,29
homicide_rate,or,strict,2,0.31576963179298895,0.14880331484502965,13,29
homicide_rate,or,strict,3,0.30818362219246453,0.153872794509531,12,27
homicide_rate,or,strict,4,-0.0033289057704014823,0.1468133087388739,12,27
homicide_rate,or,strict,5,0.19052309285555477,0.1676518066812061,11,26
homicide_rate,ra,broad,-5,0.10917224888861726,0.13055731040111482,13,29
homicide_rate,ra,broad,-4,-0.09658515122587098,0.10097118643952817,13,29
homicide_rate,ra,broad,-3,0.21335535994582167,0.10780739079856563,13,29
homicide_rate,ra,broad,-2,-0.014947703561629,0.09833783329385667,13,29
homicide_rate,ra,broad,0,0.2694165298845063,0.06596633527218743,13,29
homicide_rate,ra,broad,1,0.3938219518343361,0.12123949999899905,13,29
homicide_rate,ra,broad,2,0.1991240925500542,0.07984926877599037,13,29
homicide_rate,ra,broad,3,0.01764275691547884,0.12483427986162449,12,27
homicide_rate,ra,broad,4,0.05905298380585445,0.08296720211401397,12,27
homicide_rate,ra,broad,5,0.06334587607334363,0.09297629562762443,11,26
homicide_rate,ra,strict,-5,0.19414896165798476,0.1341426893855018,13,29
homicide_rate,ra,strict,-4,-0.08984288189853741,0.10496974760333849,13,29
homicide_rate,ra,strict,-3,0.2328020196258416,0.10900675282987986,13,29
homicide_rate,ra,strict,-2,-0.0553823333539367,0.10401688031569893,13,29
homicide_rate,ra,strict,0,0.26811857217516066,0.06703003560631475,13,29
homicide_rate,ra,strict,1,0.342524393898923,0.12130989525470064,13,29
homicide_rate,ra,strict,2,0.14656576224472556,0.08126385941710279,13,29
homicide_rate,ra,strict,3,-0.016413665929632518,0.13071850587810388,12,27
homicide_rate,ra,strict,4,0.09472719155756086,0.08884782405212455,12,27
homicide_rate,ra,strict,5,0.08139360674704066,0.10117684241299396,11,26
motor_vehicle_theft_rate,or,broad,-5,29.530028086086325,21.016185337937525,13,29
motor_vehicle_theft_rate,or,broad,-4,19.758699065620394,15.12263098968222,13,29
motor_vehicle_theft_rate,or,broad,-3,16.125980912805858,8.777604324830394,13,29
motor_vehicle_theft_rate,or,broad,-2,13.471414115968923,5.806259491121094,13,29
motor_vehicle_theft_rate,or,broad,0,14.845260675139922,5.215721827114508,13,29
motor_vehicle_theft_rate,or,broad,1,17.472399431952898,7.25780300571011,13,29
motor_vehicle_theft_rate,or,broad,2,17.59530707642746,10.252916012718165,13,29
motor_vehicle_theft_rate,or,broad,3,30.513498504752253,12.446142901529953,12,27
motor_vehicle_theft_rate,or,broad,4,31.050491114651823,12.415197511793126,12,27
motor_vehicle_theft_rate,or,broad,5,25.61256350803633,14.287860846686959,11,26
motor_vehicle_theft_rate,or,strict,-5,27.372711308254683,21.07379909721127,13,29
motor_vehicle_theft_rate,or,strict,-4,18.71743625756823,15.343317998851754,13,29
motor_vehicle_theft_rate,or,strict,-3,15.205681117284835,8.81581038652915,13,29
motor_vehicle_theft_rate,or,strict,-2,12.898773616460778,5.7950984808115695,13,29
motor_vehicle_theft_rate,or,strict,0,14.975208409874098,5.380660581648279,13,29
motor_vehicle_theft_rate,or,strict,1,18.037744411468196,7.426956452846111,13,29
motor_vehicle_theft_rate,or,strict,2,17.93032904383321,10.419247143047278,13,29
motor_vehicle_theft_rate,or,strict,3,31.89602486764715,12.439587699048413,12,27
motor_vehicle_theft_rate,or,strict,4,31.931766052073925,12.246032965373502,12,27
motor_vehicle_theft_rate,or,strict,5,26.467212462634155,14.636294523335042,11,26
motor_vehicle_theft_rate,ra,broad,-5,63.316370311437424,11.872597022174672,13,29
motor_vehicle_theft_rate,ra,broad,-4,52.19181801455175,9.248989134551652,13,29
motor_vehicle_theft_rate,ra,broad,-3,37.779883556606656,6.2791445465279265,13,29
motor_vehicle_theft_rate,ra,broad,-2,21.639366896220967,4.234503501503472,13,29
motor_vehicle_theft_rate,ra,broad,0,15.890334693262023,6.631810293306173,13,29
motor_vehicle_theft_rate,ra,broad,1,16.665719442166356,7.684966531473465,13,29
motor_vehicle_theft_rate,ra,broad,2,28.31133360256498,10.945707602821445,13,29
motor_vehicle_theft_rate,ra,broad,3,43.13159275206687,11.461210550468403,12,27
motor_vehicle_theft_rate,ra,broad,4,46.04424322977836,10.988859852919546,12,27
motor_vehicle_theft_rate,ra,broad,5,30.4420256796039,12.47952599327967,11,26
motor_vehicle_theft_rate,ra,strict,-5,63.22787625979724,12.204560293328779,13,29
motor_vehicle_theft_rate,ra,strict,-4,51.64949121299399,9.534124328256153,13,29
motor_vehicle_theft_rate,ra,strict,-3,37.4360850989911,6.616670571208144,13,29
motor_vehicle_theft_rate,ra,strict,-2,21.016705197771408,4.442414303465385,13,29
motor_vehicle_theft_rate,ra,strict,0,14.834820553545486,7.176406755786033,13,29
motor_vehicle_theft_rate,ra,strict,1,16.569003908200905,8.074503591557178,13,29
motor_vehicle_theft_rate,ra,strict,2,26.92210975823015,10.964034658207996,13,29
motor_vehicle_theft_rate,ra,strict,3,45.02595358923592,12.197656938475633,12,27
motor_vehicle_theft_rate,ra,strict,4,46.5980383907037,11.833426596125985,12,27
motor_vehicle_theft_rate,ra,strict,5,30.272961457486524,12.916775035916194,11,26
nonfirearm_suicide_rate,or,broad,-5,-0.14675131973415062,0.13829075455183715,13,29
nonfirearm_suicide_rate,or,broad,-4,-0.2157420999316199,0.109177331359762,13,29
nonfirearm_suicide_rate,or,broad,-3,-0.17373324883545016,0.11018746181577242,13,29
nonfirearm_suicide_rate,or,broad,-2,-0.2805457533300689,0.08655329396748555,13,29
nonfirearm_suicide_rate,or,broad,0,-0.1623466304180791,0.1475007577320395,13,29
nonfirearm_suicide_rate,or,broad,1,-0.34714643564961184,0.09885483426786887,13,29
nonfirearm_suicide_rate,or,broad,2,-0.2871386598250032,0.10932097194779429,13,29
nonfirearm_suicide_rate,or,broad,3,-0.25055801186980703,0.17404573267410567,12,27
nonfirearm_suicide_rate,or,broad,4,-0.1340082699848173,0.1729081691227982,12,27
nonfirearm_suicide_rate,or,broad,5,-0.3250060108146015,0.14790506141984985,11,26
nonfirearm_suicide_rate,or,strict,-5,-0.1492988618422634,0.13920786806127597,13,29
nonfirearm_suicide_rate,or,strict,-4,-0.20294282583797701,0.11116555647872942,13,29
nonfirearm_suicide_rate,or,strict,-3,-0.17035776106148454,0.11116019215094297,13,29
nonfirearm_suicide_rate,or,strict,-2,-0.24979923159471729,0.08340291916902544,13,29
nonfirearm_suicide_rate,or,strict,0,-0.16202304805656018,0.14931599236801607,13,29
nonfirearm_suicide_rate,or,strict,1,-0.34531068840033974,0.10017428987612502,13,29
nonfirearm_suicide_rate,or,strict,2,-0.2814074416302971,0.10885802747415485,13,29
nonfirearm_suicide_rate,or,strict,3,-0.22466779989760227,0.17443390197025002,12,27
nonfirearm_suicide_rate,or,strict,4,-0.12378830324872772,0.17260368090884,12,27
nonfirearm_suicide_rate,or,strict,5,-0.2945756176582084,0.15240058993757236,11,26
nonfirearm_suicide_rate,ra,broad,-5,0.023024919587477814,0.09271110292241581,13,29
nonfirearm_suicide_rate,ra,broad,-4,-0.07117706048406369,0.08636023047326594,13,29
nonfirearm_suicide_rate,ra,broad,-3,0.02203826129701025,0.1024175522039381,13,29
nonfirearm_suicide_rate,ra,broad,-2,-0.31821114279152274,0.06259854793404485,13,29
nonfirearm_suicide_rate,ra,broad,0,-0.06303513648754556,0.09148926570952637,13,29
nonfirearm_suicide_rate,ra,broad,1,-0.42290865309649983,0.07705499361668604,13,29
nonfirearm_suicide_rate,ra,broad,2,-0.22929121531755384,0.10448578710622651,13,29
nonfirearm_suicide_rate,ra,broad,3,-0.11197579264516895,0.09621152673815793,12,27
nonfirearm_suicide_rate,ra,broad,4,0.013064002929895983,0.10924514399484353,12,27
nonfirearm_suicide_rate,ra,broad,5,-0.2206774675949055,0.10381691939492559,11,26
nonfirearm_suicide_rate,ra,strict,-5,0.014791066149700764,0.09614895894406882,13,29
nonfirearm_suicide_rate,ra,strict,-4,-0.041646239139094765,0.08775610678573931,13,29
nonfirearm_suicide_rate,ra,strict,-3,0.03732455055454088,0.1085290001191123,13,29
nonfirearm_suicide_rate,ra,strict,-2,-0.2254522894962161,0.04913983122925484,13,29
nonfirearm_suicide_rate,ra,strict,0,-0.07335544765154087,0.09356545946267908,13,29
nonfirearm_suicide_rate,ra,strict,1,-0.45520876901590857,0.07847306326438382,13,29
nonfirearm_suicide_rate,ra,strict,2,-0.2637559280643042,0.11364927384649783,13,29
nonfirearm_suicide_rate,ra,strict,3,-0.033777229175942704,0.08909960056411792,12,27
nonfirearm_suicide_rate,ra,strict,4,0.017431802758732486,0.09732653584544651,12,27
nonfirearm_suicide_rate,ra,strict,5,-0.1439688590702118,0.10355434328368747,11,26
total_suicide_rate,or,broad,-5,-0.5791220184102654,0.1914507120630341,13,29
total_suicide_rate,or,broad,-4,-0.5248111980600658,0.18367877969091242,13,29
