outcome,spec,att,se,z,n,n_clusters
firearm_suicide_rate,unweighted,0.5308687207820395,0.19618089763811092,2.706016371488509,3092,49
firearm_suicide_rate,ra,0.536758364615593,0.19985194979598236,2.6857799744437796,3092,49
firearm_suicide_rate,eb,0.5785505546501511,0.19232051504240713,3.0082622986038663,3092,49
nonfirearm_suicide_rate,unweighted,-0.07944230906878487,0.11768871027836847,-0.6750206445535889,3092,49
nonfirearm_suicide_rate,ra,-0.0700477147701119,0.11816754280024759,-0.5927830359350177,3092,49
nonfirearm_suicide_rate,eb,-0.07956749928852201,0.1117950875655226,-0.7117262575771753,3092,49
total_suicide_rate,unweighted,0.45142641171325426,0.23960205220884018,1.884067384029688,3092,49
total_suicide_rate,ra,0.4667106498454806,0.24264337794172755,1.9234427652815003,3092,49
total_suicide_rate,eb,0.498983055361629,0.2108914282550866,2.36606608191812,3092,49
firearm_homicide_rate,unweighted,0.18297804406360305,0.1737570784480803,1.053068143743439,3086,49
firearm_homicide_rate,ra,0.21503187787768668,0.17323661901569218,1.2412611092243067,3086,49
firearm_homicide_rate,eb,-0.14207684628286385,0.28363980109051423,-0.500905887455212,3086,49
homicide_rate,unweighted,0.10810493895055924,0.21714854173870532,0.4978386595874166,3092,49
homicide_rate,ra,0.1233109033213362,0.21485650627048541,0.5739221281300118,3092,49
homicide_rate,eb,-0.22267212083769627,0.29945995446866797,-0.7435789577701085,3092,49
motor_vehicle_theft_rate,unweighted,0.9097251950827582,21.84934652216613,0.04163626560454993,3092,49
motor_vehicle_theft_rate,ra,2.2873063642585842,20.515237958929895,0.11149304574665989,3092,49
motor_vehicle_theft_rate,eb,-0.08675831972425511,22.369874195334436,-0.003878355281155306,3092,49
