event_time,beta,se,z,n,omitted,outcome,spec,tier
-5,-0.5031589015911405,0.22096610641144607,-2.277086335830357,3092,False,firearm_suicide_rate,unweighted,all
-4,-0.3881912509967154,0.2578729059357407,-1.5053588107214673,3092,False,firearm_suicide_rate,unweighted,all
-3,-0.2328704317364838,0.1627412542810698,-1.430924400608921,3092,False,firearm_suicide_rate,unweighted,all
-2,-0.41036403191682336,0.14395696837807753,-2.850602069078551,3092,False,firearm_suicide_rate,unweighted,all
-1,0.0,0.0,0.0,0,True,firearm_suicide_rate,unweighted,all
0,0.17679960297715988,0.1390238754511886,1.2717211515171318,3092,False,firearm_suicide_rate,unweighted,all
1,0.06796039426338828,0.16912111292262447,0.401844530756377,3092,False,firearm_suicide_rate,unweighted,all
2,0.4245297151265897,0.1982130156236589,2.141785259614997,3092,False,firearm_suicide_rate,unweighted,all
3,0.4161552918844115,0.24248039770653637,1.716243027562444,3092,False,firearm_suicide_rate,unweighted,all
4,0.15100852310783225,0.1323835458961324,1.1406895176105414,3092,False,firearm_suicide_rate,unweighted,all
5,0.4065102862966753,0.18513946635440437,2.195697623533766,3092,False,firearm_suicide_rate,unweighted,all
-5,-0.5289922606156461,0.22379694755881863,-2.363715262365746,3092,False,firearm_suicide_rate,ra,minimal
-4,-0.4218737578447891,0.2680049249041396,-1.574126885898405,3092,False,firearm_suicide_rate,ra,minimal
-3,-0.24714589516003593,0.15915282890727123,-1.5528840854222765,3092,False,firearm_suicide_rate,ra,minimal
-2,-0.40539683740646487,0.1443684820918764,-2.8080702348069955,3092,False,firearm_suicide_rate,ra,minimal
-1,0.0,0.0,0.0,0,True,firearm_suicide_rate,ra,minimal
0,0.18434859347843474,0.1403916581070227,1.3131021882931464,3092,False,firearm_suicide_rate,ra,minimal
1,0.07338138949825543,0.17367228896569809,0.422527911247539,3092,False,firearm_suicide_rate,ra,minimal
2,0.42117739269734805,0.1976772148441671,2.13063196499086,3092,False,firearm_suicide_rate,ra,minimal
3,0.4333238688758516,0.2483027675949771,1.745143129385793,3092,False,firearm_suicide_rate,ra,minimal
4,0.1657037020817046,0.12421750031798547,1.3339803301267392,3092,False,firearm_suicide_rate,ra,minimal
5,0.4218367609857788,0.1873546902454474,2.251540969874541,3092,False,firearm_suicide_rate,ra,minimal
-5,-0.4743952083958371,0.22244390985527418,-2.132650917278368,3092,False,firearm_suicide_rate,eb,minimal
-4,-0.3966501064752135,0.25711546089406345,-1.5426925518051247,3092,False,firearm_suicide_rate,eb,minimal
-3,-0.21997691715362336,0.16157952419716926,-1.36141579972221,3092,False,firearm_suicide_rate,eb,minimal
-2,-0.4166719096448028,0.1445477769137341,-2.882589539190713,3092,False,firearm_suicide_rate,eb,minimal
-1,0.0,0.0,0.0,0,True,firearm_suicide_rate,eb,minimal
0,0.2334530989224295,0.13487481659106576,1.7308872391667345,3092,False,firearm_suicide_rate,eb,minimal
1,0.09291222331357091,0.1675866179768032,0.5544131413072106,3092,False,firearm_suicide_rate,eb,minimal
2,0.3618384853278751,0.20950658239055892,1.7270984099838038,3092,False,firearm_suicide_rate,eb,minimal
3,0.4395752568399245,0.24684782669206723,1.7807540083724416,3092,False,firearm_suicide_rate,eb,minimal
4,0.12942225458426673,0.13198788677329687,0.9805616087070408,3092,False,firearm_suicide_rate,eb,minimal
5,0.3648812940796989,0.1826325461670273,1.9978985221286643,3092,False,firearm_suicide_rate,eb,minimal
-5,-0.5031589015911405,0.22096610641144607,-2.277086335830357,3092,False,firearm_suicide_rate,eb,headline
-4,-0.3881912509967154,0.2578729059357407,-1.5053588107214673,3092,False,firearm_suicide_rate,eb,headline
