outcome,spec,control_rule,tier,g_cohort,t_year,event_time,n_treated,n_control,att,se
firearm_suicide_rate,or,broad,all,2013,1999,-14,3,33,0.6624748372700673,0.925885084115723
firearm_suicide_rate,or,broad,all,2013,2000,-13,3,33,0.6450879654813697,0.6228172815681247
firearm_suicide_rate,or,broad,all,2013,2001,-12,3,33,1.3396984871801194,0.7632277867040435
firearm_suicide_rate,or,broad,all,2013,2002,-11,3,33,0.24279283096636328,0.41374238218143444
firearm_suicide_rate,or,broad,all,2013,2003,-10,3,33,0.4349412643561511,0.6126787463524319
firearm_suicide_rate,or,broad,all,2013,2004,-9,3,33,0.9345132882891564,0.5175062540712518
firearm_suicide_rate,or,broad,all,2013,2005,-8,3,33,0.47637609690399474,0.5060566404296832
firearm_suicide_rate,or,broad,all,2013,2006,-7,3,33,0.39977066497548264,0.618873415923606
firearm_suicide_rate,or,broad,all,2013,2007,-6,3,33,0.6308093893579071,0.6222017047607626
firearm_suicide_rate,or,broad,all,2013,2008,-5,3,33,-0.2622277409745616,0.5887743548646596
firearm_suicide_rate,or,broad,all,2013,2009,-4,3,33,0.08659419621717013,0.22804723528412646
firearm_suicide_rate,or,broad,all,2013,2010,-3,3,33,-0.25004092625781393,0.4455582495873873
firearm_suicide_rate,or,broad,all,2013,2011,-2,3,33,-0.10920750583141747,0.46432543773803914
firearm_suicide_rate,or,broad,all,2013,2013,0,3,33,-0.21962089007229502,0.6275713272581632
firearm_suicide_rate,or,broad,all,2013,2014,1,3,33,0.15953360720619894,0.4605048395185771
firearm_suicide_rate,or,broad,all,2013,2015,2,3,33,-0.57462572026596,0.38747070459896865
firearm_suicide_rate,or,broad,all,2013,2016,3,3,33,0.07832230598229062,0.5052346982809257
firearm_suicide_rate,or,broad,all,2013,2017,4,3,33,-1.4455022145419842,0.2880713865094397
firearm_suicide_rate,or,broad,all,2013,2018,5,3,33,-0.6491581745478321,0.43850989814416713
firearm_suicide_rate,or,broad,all,2013,2019,6,3,33,-1.0343982321694494,0.3834900639923085
firearm_suicide_rate,or,broad,all,2013,2020,7,3,33,-0.9181013957210824,0.3735436547159724
firearm_suicide_rate,or,broad,all,2013,2021,8,3,33,-0.7781781508358236,0.8459086933651566
firearm_suicide_rate,or,broad,all,2013,2022,9,3,33,-0.9648095754409343,0.6017872029966995
firearm_suicide_rate,or,broad,all,2013,2023,10,3,33,-0.7588349178219744,0.6429558988493388
firearm_suicide_rate,or,broad,all,2014,1999,-15,1,33,2.6396913694382675,
firearm_suicide_rate,or,broad,all,2014,2000,-14,1,33,1.3918954994419406,
firearm_suicide_rate,or,broad,all,2014,2001,-13,1,33,1.2297750839395154,
firearm_suicide_rate,or,broad,all,2014,2002,-12,1,33,1.654057029408958,
firearm_suicide_rate,or,broad,all,2014,2003,-11,1,33,1.764116102830262,
firearm_suicide_rate,or,broad,all,2014,2004,-10,1,33,1.6457293461543816,
firearm_suicide_rate,or,broad,all,2014,2005,-9,1,33,0.8417627078579226,
firearm_suicide_rate,or,broad,all,2014,2006,-8,1,33,0.9880466609866745,
firearm_suicide_rate,or,broad,all,2014,2007,-7,1,33,1.100027377174405,
firearm_suicide_rate,or,broad,all,2014,2008,-6,1,33,0.8646456310571635,
firearm_suicide_rate,or,broad,all,2014,2009,-5,1,33,1.3109767549503626,
firearm_suicide_rate,or,broad,all,2014,2010,-4,1,33,0.7685397484710029,
firearm_suicide_rate,or,broad,all,2014,2011,-3,1,33,1.0316039889695507,
firearm_suicide_rate,or,broad,all,2014,2012,-2,1,33,1.0287358596886194,
firearm_suicide_rate,or,broad,all,2014,2014,0,1,33,1.0400678084676527,
firearm_suicide_rate,or,broad,all,2014,2015,1,1,33,0.2970700112346047,
firearm_suicide_rate,or,broad,all,2014,2016,2,1,33,-0.31175893097234486,
firearm_suicide_rate,or,broad,all,2014,2017,3,1,33,0.5382985236228222,
firearm_suicide_rate,or,broad,all,2014,2018,4,1,33,0.01356320752975404,
firearm_suicide_rate,or,broad,all,2014,2019,5,1,33,0.6001339359522849,
firearm_suicide_rate,or,broad,all,2014,2020,6,1,33,-0.06024603402077067,
firearm_suicide_rate,or,broad,all,2014,2021,7,1,33,-1.005149856944516,
firearm_suicide_rate,or,broad,all,2014,2022,8,1,33,-0.2841522088397308,
firearm_suicide_rate,or,broad,all,2014,2023,9,1,33,0.08752754770901539,
firearm_suicide_rate,or,broad,all,2015,1999,-16,1,33,0.19009376504261244,
firearm_suicide_rate,or,broad,all,2015,2000,-15,1,33,-0.26437782501711093,
firearm_suicide_rate,or,broad,all,2015,2001,-14,1,33,-1.10356083981833,
firearm_suicide_rate,or,broad,all,2015,2002,-13,1,33,-1.1419322548519724,
firearm_suicide_rate,or,broad,all,2015,2003,-12,1,33,0.09749765432850288,
firearm_suicide_rate,or,broad,all,2015,2004,-11,1,33,-0.7238928428573399,
firearm_suicide_rate,or,broad,all,2015,2005,-10,1,33,-0.6001262149991746,
firearm_suicide_rate,or,broad,all,2015,2006,-9,1,33,-0.7898651829653331,
firearm_suicide_rate,or,broad,all,2015,2007,-8,1,33,-0.42522271534674516,
firearm_suicide_rate,or,broad,all,2015,2008,-7,1,33,-1.2879945345865955,
firearm_suicide_rate,or,broad,all,2015,2009,-6,1,33,-0.5898883927613328,
firearm_suicide_rate,or,broad,all,2015,2010,-5,1,33,-0.18338950966034817,
