outcome,spec,control_rule,tier,event_time,att,se,n_cohorts,total_treated_states
firearm_homicide_rate,or,broad,all,-5,0.10116889217630852,0.11046948574346938,8,11
firearm_homicide_rate,or,broad,all,-4,0.07645890517906336,0.09602924157394759,8,11
firearm_homicide_rate,or,broad,all,-3,0.1024586256859503,0.07123293936535424,8,11
firearm_homicide_rate,or,broad,all,-2,-0.18943361942699727,0.12821244114452598,8,11
firearm_homicide_rate,or,broad,all,0,0.05898176696685592,0.08105011617463065,8,11
firearm_homicide_rate,or,broad,all,1,-0.3611198838584711,0.06279268651508828,8,11
firearm_homicide_rate,or,broad,all,2,-0.40622425689729696,0.08032505477210909,8,11
firearm_homicide_rate,or,broad,all,3,-0.5832019245130472,0.10711066198254579,7,9
firearm_homicide_rate,or,broad,all,4,-0.455255388673611,0.18783992161536114,6,9
firearm_homicide_rate,or,broad,all,5,-0.9287803760606059,0.2362853419321531,5,8
firearm_homicide_rate,or,strict,all,-5,0.10116889217630852,0.11046948574346938,8,11
firearm_homicide_rate,or,strict,all,-4,0.07645890517906336,0.09602924157394759,8,11
firearm_homicide_rate,or,strict,all,-3,0.1024586256859503,0.07123293936535424,8,11
firearm_homicide_rate,or,strict,all,-2,-0.18943361942699727,0.12821244114452598,8,11
firearm_homicide_rate,or,strict,all,0,0.05898176696685592,0.08105011617463065,8,11
firearm_homicide_rate,or,strict,all,1,-0.3611198838584711,0.06279268651508828,8,11
firearm_homicide_rate,or,strict,all,2,-0.40622425689729696,0.08032505477210909,8,11
firearm_homicide_rate,or,strict,all,3,-0.5832019245130472,0.10711066198254579,7,9
firearm_homicide_rate,or,strict,all,4,-0.455255388673611,0.18783992161536114,6,9
firearm_homicide_rate,or,strict,all,5,-0.9287803760606059,0.2362853419321531,5,8
firearm_homicide_rate,ra,broad,expanded,-5,-0.576582867261122,0.21017379338532574,8,8
firearm_homicide_rate,ra,broad,expanded,-4,0.046329172738670044,0.1782606997108016,8,8
firearm_homicide_rate,ra,broad,expanded,-3,0.23398258704820174,0.14513998204931625,8,8
firearm_homicide_rate,ra,broad,expanded,-2,-0.35002751972780644,0.12003394708627486,8,8
firearm_homicide_rate,ra,broad,expanded,0,-0.06665868266110656,0.09080222684467876,8,8
firearm_homicide_rate,ra,broad,expanded,1,-0.25995730560913244,0.1434099749316135,8,8
firearm_homicide_rate,ra,broad,expanded,2,-0.7148205245425723,0.1785569643320104,8,8
firearm_homicide_rate,ra,broad,expanded,3,-0.5235198133807777,0.16176052117607762,7,7
firearm_homicide_rate,ra,broad,expanded,4,-0.7887470304133408,0.27115893766846133,6,8
firearm_homicide_rate,ra,broad,expanded,5,-1.7796533469458002,0.3421046938327537,5,7
firearm_homicide_rate,ra,broad,headline,-5,-0.605579661372242,0.17430603691131874,8,8
firearm_homicide_rate,ra,broad,headline,-4,-0.01702717038696326,0.14238335244256367,8,8
firearm_homicide_rate,ra,broad,headline,-3,0.11031755168427712,0.1296176165931303,8,8
firearm_homicide_rate,ra,broad,headline,-2,-0.24808971790492834,0.14568680837448061,8,8
firearm_homicide_rate,ra,broad,headline,0,0.15927264177249467,0.10969630739750486,8,8
firearm_homicide_rate,ra,broad,headline,1,-0.13263267613075036,0.16298364659455059,8,8
firearm_homicide_rate,ra,broad,headline,2,-0.43701168959316467,0.160890385320135,8,8
firearm_homicide_rate,ra,broad,headline,3,-0.1461010587568864,0.12414716047615264,7,7
firearm_homicide_rate,ra,broad,headline,4,-0.24617504420752812,0.17683881959949754,6,8
firearm_homicide_rate,ra,broad,headline,5,-0.8507217390061929,0.2536089854342185,5,7
firearm_homicide_rate,ra,broad,minimal,-5,-0.2999987202433092,0.10533152137153286,8,11
firearm_homicide_rate,ra,broad,minimal,-4,0.010346339020257347,0.10778879740089099,8,11
firearm_homicide_rate,ra,broad,minimal,-3,0.010222340470392655,0.09823981592990837,8,11
firearm_homicide_rate,ra,broad,minimal,-2,-0.3086003938646341,0.09759504067447333,8,11
firearm_homicide_rate,ra,broad,minimal,0,0.035989934638978316,0.06707149629169178,8,11
