outcome,spec,control_rule,tier,att_overall_post,se_overall_post,z,att_pretrends_avg,se_pretrends_avg,z_pretrends,n_post_cells,n_pre_cells
firearm_homicide_rate,or,broad,all,-0.5939786610173456,0.06824192400718504,-8.70401398639943,0.022663200903581232,0.05180352559947111,0.43748375504026726,55,32
firearm_homicide_rate,or,strict,all,-0.5939786610173456,0.06824192400718504,-8.70401398639943,0.022663200903581232,0.05180352559947111,0.43748375504026726,55,32
firearm_homicide_rate,ra,broad,expanded,-1.4258647725282965,0.10198530905468839,-13.9810800765794,-0.16157465680051414,0.0834504581060481,-1.936174593495778,55,32
firearm_homicide_rate,ra,broad,headline,-0.7133297183249442,0.08988273459383013,-7.936226256893498,-0.19009474949496413,0.07444838237922789,-2.5533764928115232,55,32
firearm_homicide_rate,ra,broad,minimal,-0.26719963066841124,0.06538821973145897,-4.086357325000831,-0.14700760865432333,0.051167010635373246,-2.873093558307131,55,32
firearm_homicide_rate,ra,strict,expanded,-1.4258647725282965,0.10198530905468839,-13.9810800765794,-0.16157465680051414,0.0834504581060481,-1.936174593495778,55,32
firearm_homicide_rate,ra,strict,headline,-0.7133297183249442,0.08988273459383013,-7.936226256893498,-0.19009474949496413,0.07444838237922789,-2.5533764928115232,55,32
firearm_homicide_rate,ra,strict,minimal,-0.26719963066841124,0.06538821973145897,-4.086357325000831,-0.14700760865432333,0.051167010635373246,-2.873093558307131,55,32
firearm_suicide_rate,or,broad,all,-0.419955312587041,0.06839613046826248,-6.140044907685396,0.0882258898913341,0.06896059056672728,1.2793667972719207,55,32
firearm_suicide_rate,or,strict,all,-0.419955312587041,0.06839613046826248,-6.140044907685396,0.0882258898913341,0.06896059056672728,1.2793667972719207,55,32
firearm_suicide_rate,ra,broad,expanded,0.2762787211852965,0.10829173678686234,2.551244715273732,-0.10061620385367012,0.1389217815523871,-0.7242651420772916,55,32
firearm_suicide_rate,ra,broad,headline,0.30904260812501644,0.09147082433790157,3.3785921397557854,-0.03540011406643731,0.1338560946206088,-0.2644639690614956,55,32
firearm_suicide_rate,ra,broad,minimal,-0.3646362167176563,0.06239911184438978,-5.843612287735474,-0.08460167514460097,0.07559026351970129,-1.1192139199587658,55,32
firearm_suicide_rate,ra,strict,expanded,0.2762787211852965,0.10829173678686234,2.551244715273732,-0.10061620385367012,0.1389217815523871,-0.7242651420772916,55,32
firearm_suicide_rate,ra,strict,headline,0.30904260812501644,0.09147082433790157,3.3785921397557854,-0.03540011406643731,0.1338560946206088,-0.2644639690614956,55,32
firearm_suicide_rate,ra,strict,minimal,-0.3646362167176563,0.06239911184438978,-5.843612287735474,-0.08460167514460097,0.07559026351970129,-1.1192139199587658,55,32
homicide_rate,or,broad,all,-0.38858721295608184,0.08012446221808935,-4.849794958977612,-0.03490617527014109,0.07336628591002188,-0.47577950603838437,55,32
homicide_rate,or,strict,all,-0.38858721295608184,0.08012446221808935,-4.849794958977612,-0.03490617527014109,0.07336628591002188,-0.47577950603838437,55,32
homicide_rate,ra,broad,expanded,-0.6771629439752621,0.09616434036535663,-7.041726084768229,-0.39741372689803367,0.10040004947664731,-3.95830210213662,55,32
homicide_rate,ra,broad,headline,-0.46955388206100956,0.07814364040815434,-6.008855994019076,-0.5491798897838231,0.10067039726238719,-5.455227204005577,55,32
homicide_rate,ra,broad,minimal,-0.7393250596081613,0.06539039436579666,-11.306325138098194,-0.3199580106495471,0.06539623128784108,-4.89260626107419,55,32
homicide_rate,ra,strict,expanded,-0.6771629439752621,0.09616434036535663,-7.041726084768229,-0.39741372689803367,0.10040004947664731,-3.95830210213662,55,32
homicide_rate,ra,strict,headline,-0.46955388206100956,0.07814364040815434,-6.008855994019076,-0.5491798897838231,0.10067039726238719,-5.455227204005577,55,32
homicide_rate,ra,strict,minimal,-0.7393250596081613,0.06539039436579666,-11.306325138098194,-0.3199580106495471,0.06539623128784108,-4.89260626107419,55,32
motor_vehicle_theft_rate,or,broad,all,38.63743022230201,8.729581156608425,4.426034826774351,0.8989449173523809,2.602401423247051,0.3454289985096747,55,32
motor_vehicle_theft_rate,or,strict,all,38.63743022230201,8.729581156608425,4.426034826774351,0.8989449173523809,2.602401423247051,0.3454289985096747,55,32
motor_vehicle_theft_rate,ra,broad,expanded,-8.84444734211745,5.8559513243982835,-1.510334846068114,-9.952709236129747,2.917291697186135,-3.4116263538985843,55,32
motor_vehicle_theft_rate,ra,broad,headline,24.64351092384416,3.6554048633884832,6.7416638771444175,-11.758928992497838,2.4100048098375506,-4.879213910486122,55,32
motor_vehicle_theft_rate,ra,broad,minimal,38.33829044929889,4.900648784618724,7.823105089601244,-15.533219753885682,2.475167169080455,-6.275624510507871,55,32
motor_vehicle_theft_rate,ra,strict,expanded,-8.84444734211745,5.8559513243982835,-1.510334846068114,-9.952709236129747,2.917291697186135,-3.4116263538985843,55,32
motor_vehicle_theft_rate,ra,strict,headline,24.64351092384416,3.6554048633884832,6.7416638771444175,-11.758928992497838,2.4100048098375506,-4.879213910486122,55,32
motor_vehicle_theft_rate,ra,strict,minimal,38.33829044929889,4.900648784618724,7.823105089601244,-15.533219753885682,2.475167169080455,-6.275624510507871,55,32
nonfirearm_suicide_rate,or,broad,all,-0.6444935767124517,0.09985042101563923,-6.454590478006165,-0.14940998112823495,0.06729319258018757,-2.220283737470113,55,32
nonfirearm_suicide_rate,or,strict,all,-0.6444935767124517,0.09985042101563923,-6.454590478006165,-0.14940998112823495,0.06729319258018757,-2.220283737470113,55,32
nonfirearm_suicide_rate,ra,broad,expanded,-1.070546423182643,0.08730003657676366,-12.262840488518036,-0.4307034686702452,0.12015370049639683,-3.584604276779317,55,32
nonfirearm_suicide_rate,ra,broad,headline,-0.7348601470317859,0.07615150739704629,-9.649975058278217,-0.23179771000410554,0.12559368259603468,-1.845615999251096,55,32
nonfirearm_suicide_rate,ra,broad,minimal,-0.3584850755384153,0.08432774359966401,-4.251092940898322,-0.07521847252407354,0.07698100788558629,-0.9771042831222432,55,32
nonfirearm_suicide_rate,ra,strict,expanded,-1.070546423182643,0.08730003657676366,-12.262840488518036,-0.4307034686702452,0.12015370049639683,-3.584604276779317,55,32
nonfirearm_suicide_rate,ra,strict,headline,-0.7348601470317859,0.07615150739704629,-9.649975058278217,-0.23179771000410554,0.12559368259603468,-1.845615999251096,55,32
nonfirearm_suicide_rate,ra,strict,minimal,-0.3584850755384153,0.08432774359966401,-4.251092940898322,-0.07521847252407354,0.07698100788558629,-0.9771042831222432,55,32
total_suicide_rate,or,broad,all,-1.064448889299493,0.10866103132096233,-9.79604993951631,-0.0611840912369009,0.09823576376089135,-0.6228290888624302,55,32
total_suicide_rate,or,strict,all,-1.064448889299493,0.10866103132096233,-9.79604993951631,-0.0611840912369009,0.09823576376089135,-0.6228290888624302,55,32
total_suicide_rate,ra,broad,expanded,-0.7942677019973425,0.15138449622885108,-5.246691185579741,-0.531319672523909,0.18222904532333134,-2.915669516795095,55,32
total_suicide_rate,ra,broad,headline,-0.42581753890677343,0.13282054085244346,-3.205961488892249,-0.2671978240705318,0.17843824919870632,-1.4974246007815513,55,32
total_suicide_rate,ra,broad,minimal,-0.7231212922560717,0.10541259607213155,-6.859913513193959,-0.15982014766867303,0.09885637038695883,-1.6166904271629678,55,32
total_suicide_rate,ra,strict,expanded,-0.7942677019973425,0.15138449622885108,-5.246691185579741,-0.531319672523909,0.18222904532333134,-2.915669516795095,55,32
total_suicide_rate,ra,strict,headline,-0.42581753890677343,0.13282054085244346,-3.205961488892249,-0.2671978240705318,0.17843824919870632,-1.4974246007815513,55,32
total_suicide_rate,ra,strict,minimal,-0.7231212922560717,0.10541259607213155,-6.859913513193959,-0.15982014766867303,0.09885637038695883,-1.6166904271629678,55,32
