outcome,spec,control_rule,g_cohort,t_year,event_time,n_treated_states,n_control_states,n_treated_counties,n_control_counties,att,se
county_violent_crime_rate,or,broad,2014,2009,-5,1,38,39,2680,-4.676338662655475,8.30391913557969
county_violent_crime_rate,or,broad,2014,2010,-4,1,38,39,2680,-5.712639456608862,5.105493773135333
county_violent_crime_rate,or,broad,2014,2011,-3,1,38,39,2680,0.30160686256185554,4.296743805777325
county_violent_crime_rate,or,broad,2014,2012,-2,1,38,39,2680,0.4049780746039584,3.1193436977149673
county_violent_crime_rate,or,broad,2014,2014,0,1,38,39,2680,-23.816707808608154,2.7773900495475745
county_violent_crime_rate,or,broad,2014,2015,1,1,38,39,2680,-28.027536954345415,3.9767068097506053
county_violent_crime_rate,or,broad,2014,2016,2,1,38,39,2680,-30.711160707340667,5.103224139735162
county_violent_crime_rate,or,broad,2014,2017,3,1,38,39,2680,-33.12409726077508,6.314122954843311
county_violent_crime_rate,or,broad,2014,2018,4,1,38,39,2680,-11.284555982860356,7.636129790716076
county_violent_crime_rate,or,broad,2014,2019,5,1,38,39,2680,-12.325219266326252,8.196374948846403
county_violent_crime_rate,or,broad,2014,2020,6,1,38,39,2680,-29.143328718708695,11.042518859689167
county_violent_crime_rate,or,broad,2014,2021,7,1,38,39,2680,5.686647201447632,15.420409938879528
county_violent_crime_rate,or,broad,2014,2022,8,1,38,39,2680,35.99572653812969,10.690328125869087
county_violent_crime_rate,or,broad,2014,2023,9,1,38,39,2680,30.837620597768158,10.418819258396427
county_violent_crime_rate,or,broad,2014,2024,10,1,38,39,2680,52.61905044660766,10.875994508901151
county_violent_crime_rate,or,broad,2015,2009,-6,1,38,36,2680,-42.49417992415482,8.462155251074856
county_violent_crime_rate,or,broad,2015,2010,-5,1,38,36,2680,-28.343407053563368,5.975543274437387
county_violent_crime_rate,or,broad,2015,2011,-4,1,38,36,2680,-10.974881596170059,5.167579669233784
county_violent_crime_rate,or,broad,2015,2012,-3,1,38,36,2680,-11.330070072881973,3.8187390417372526
county_violent_crime_rate,or,broad,2015,2013,-2,1,38,36,2680,0.49492532470167583,2.718847161710776
county_violent_crime_rate,or,broad,2015,2015,0,1,38,36,2680,-4.871893031421433,4.68169566431379
county_violent_crime_rate,or,broad,2015,2016,1,1,38,36,2680,8.158257689698829,5.347679901777208
county_violent_crime_rate,or,broad,2015,2017,2,1,38,36,2680,8.690859915618113,6.810756491138508
county_violent_crime_rate,or,broad,2015,2018,3,1,38,36,2680,22.07802311114908,7.814904191622623
county_violent_crime_rate,or,broad,2015,2019,4,1,38,36,2680,53.73091788966752,8.672031566512265
