outcome,spec,control_rule,event_time,att,se,n_cohorts,total_treated_counties,total_treated_states
county_burglary_rate,or,broad,-5,-30.004012825769603,7.730390161504522,7,317,8
county_burglary_rate,or,broad,-4,-27.409662280423998,6.567401306761997,7,317,8
county_burglary_rate,or,broad,-3,-23.26228525102811,5.4222315819321585,7,317,8
county_burglary_rate,or,broad,-2,1.0053032252395333,4.796204873762711,7,317,8
county_burglary_rate,or,broad,0,-21.664408675313243,3.7847380145734637,7,317,8
county_burglary_rate,or,broad,1,-9.831883177589335,5.904171160827873,7,317,8
county_burglary_rate,or,broad,2,-15.40518513494529,4.481667687389553,7,317,8
county_burglary_rate,or,broad,3,-4.8299725646305465,5.73063773688483,7,317,8
county_burglary_rate,or,broad,4,-9.256744712037598,5.982605185511386,6,293,7
county_burglary_rate,or,broad,5,-52.415806528770744,8.418102899506332,5,160,6
county_burglary_rate,or,strict,-5,-30.133000697929937,7.871855661371593,7,317,8
county_burglary_rate,or,strict,-4,-27.715753936332312,6.64692338522991,7,317,8
county_burglary_rate,or,strict,-3,-23.45747542769249,5.651835470380955,7,317,8
county_burglary_rate,or,strict,-2,1.012341598975269,4.87517615402656,7,317,8
county_burglary_rate,or,strict,0,-22.741212579693943,3.819631425785323,7,317,8
county_burglary_rate,or,strict,1,-13.03072563955037,5.052898534244763,7,317,8
county_burglary_rate,or,strict,2,-16.793389322087716,4.563764295778553,7,317,8
county_burglary_rate,or,strict,3,-6.629895837772594,5.69959780069415,7,317,8
county_burglary_rate,or,strict,4,-10.999530088826017,6.007804815607625,6,293,7
county_burglary_rate,or,strict,5,-53.424815850573594,8.626031806924798,5,160,6
county_burglary_rate,ra,broad,-5,-56.94746738735866,5.892836747662067,7,266,8
county_burglary_rate,ra,broad,-4,-42.02333928149823,3.1084476940045445,7,266,8
county_burglary_rate,ra,broad,-3,-38.59455373846906,2.709380045210248,7,266,8
county_burglary_rate,ra,broad,-2,-4.096641364417627,2.6889477781193576,7,266,8
county_burglary_rate,ra,broad,0,-12.488136417059424,2.50892905003388,7,266,8
county_burglary_rate,ra,broad,1,-6.772569184403407,3.308634143320617,7,266,8
county_burglary_rate,ra,broad,2,-18.89053583690055,3.0077858167203804,7,266,8
county_burglary_rate,ra,broad,3,-0.053688636332454465,2.848305219631657,7,266,8
county_burglary_rate,ra,broad,4,-7.417261933034187,3.685805741801505,6,242,7
county_burglary_rate,ra,broad,5,-27.45287557868317,5.928764937976433,5,160,6
county_burglary_rate,ra,strict,-5,-62.239103200732856,5.902075399507564,7,266,8
county_burglary_rate,ra,strict,-4,-46.68224058191945,3.134938123719136,7,266,8
county_burglary_rate,ra,strict,-3,-41.814458011992215,2.7902575136631653,7,266,8
county_burglary_rate,ra,strict,-2,-5.309619285440045,2.781562821706016,7,266,8
county_burglary_rate,ra,strict,0,-13.467841381404583,2.5205409092819515,7,266,8
county_burglary_rate,ra,strict,1,-7.449246742148873,3.1710044058396085,7,266,8
