outcome,spec,tier,att,se,z,n,n_clusters
firearm_suicide_rate,unweighted,all,-0.3534670816964788,0.19231371469003658,-1.837971266200035,2821,44
firearm_suicide_rate,ra,minimal,-0.1906025648047692,0.1975020675701354,-0.9650661744950285,2821,44
firearm_suicide_rate,eb,minimal,-0.3534670816964788,0.19231371469003658,-1.837971266200035,2821,44
firearm_suicide_rate,eb,headline,-0.3534670816964788,0.19231371469003658,-1.837971266200035,2821,44
firearm_suicide_rate,eb,expanded,-0.3534670816964788,0.19231371469003658,-1.837971266200035,2821,44
nonfirearm_suicide_rate,unweighted,all,-0.3729435436376635,0.2086520557401677,-1.7873945325613583,2821,44
nonfirearm_suicide_rate,ra,minimal,-0.24646734985529284,0.19635869328686076,-1.2551893971672965,2821,44
nonfirearm_suicide_rate,eb,minimal,-0.3729435436376635,0.2086520557401677,-1.7873945325613583,2821,44
nonfirearm_suicide_rate,eb,headline,-0.3729435436376635,0.2086520557401677,-1.7873945325613583,2821,44
nonfirearm_suicide_rate,eb,expanded,-0.3729435436376635,0.2086520557401677,-1.7873945325613583,2821,44
total_suicide_rate,unweighted,all,-0.726410625334143,0.2610177585473475,-2.7829931165483335,2821,44
total_suicide_rate,ra,minimal,-0.43706991466006284,0.2376274398668542,-1.8393074255437794,2821,44
total_suicide_rate,eb,minimal,-0.726410625334143,0.2610177585473475,-2.7829931165483335,2821,44
total_suicide_rate,eb,headline,-0.726410625334143,0.2610177585473475,-2.7829931165483335,2821,44
total_suicide_rate,eb,expanded,-0.726410625334143,0.2610177585473475,-2.7829931165483335,2821,44
firearm_homicide_rate,unweighted,all,-0.38920556165477477,0.3781195896382255,-1.029318692605046,2815,44
firearm_homicide_rate,ra,minimal,-0.33250570707779303,0.35374458942244386,-0.9399598383134923,2815,44
firearm_homicide_rate,eb,minimal,-0.38920556165477477,0.3781195896382255,-1.029318692605046,2815,44
firearm_homicide_rate,eb,headline,-0.38920556165477477,0.3781195896382255,-1.029318692605046,2815,44
firearm_homicide_rate,eb,expanded,-0.38920556165477477,0.3781195896382255,-1.029318692605046,2815,44
homicide_rate,unweighted,all,-0.25792479104424887,0.3836586075873108,-0.6722768261769074,2821,44
homicide_rate,ra,minimal,-0.29705289643149807,0.43566514507491383,-0.681837644782024,2821,44
homicide_rate,eb,minimal,-0.25792479104424887,0.3836586075873108,-0.6722768261769074,2821,44
homicide_rate,eb,headline,-0.25792479104424887,0.3836586075873108,-0.6722768261769074,2821,44
homicide_rate,eb,expanded,-0.25792479104424887,0.3836586075873108,-0.6722768261769074,2821,44
motor_vehicle_theft_rate,unweighted,all,12.657580796801817,15.610999522558823,0.8108116830386716,2821,44
motor_vehicle_theft_rate,ra,minimal,13.753456769334424,17.568512829556724,0.7828469548199909,2821,44
motor_vehicle_theft_rate,eb,minimal,12.657580796801817,15.610999522558823,0.8108116830386716,2821,44
motor_vehicle_theft_rate,eb,headline,12.657580796801817,15.610999522558823,0.8108116830386716,2821,44
motor_vehicle_theft_rate,eb,expanded,12.657580796801817,15.610999522558823,0.8108116830386716,2821,44
