event_time,beta,se,z,n,omitted,outcome,spec,tier
-5,0.292986057262111,0.21079885847971933,1.3898844584601904,2821,False,firearm_suicide_rate,unweighted,all
-4,0.3850249381183144,0.16175639129103295,2.3802765074399783,2821,False,firearm_suicide_rate,unweighted,all
-3,0.052289917325835565,0.1715803801303655,0.3047546420290366,2821,False,firearm_suicide_rate,unweighted,all
-2,0.15493666257911373,0.2081592481750669,0.744317938969535,2821,False,firearm_suicide_rate,unweighted,all
-1,0.0,0.0,0.0,0,True,firearm_suicide_rate,unweighted,all
0,0.02152061516471818,0.19028091329272706,0.11309917948318332,2821,False,firearm_suicide_rate,unweighted,all
1,0.012728991390672894,0.19252827026336755,0.06611492106203608,2821,False,firearm_suicide_rate,unweighted,all
2,-0.2852287912057645,0.14015258767197844,-2.0351303956893836,2821,False,firearm_suicide_rate,unweighted,all
3,-0.06676598713048962,0.20271142661831654,-0.3293646946513907,2821,False,firearm_suicide_rate,unweighted,all
4,-0.6094173988656596,0.2500173295764205,-2.4375006320487262,2821,False,firearm_suicide_rate,unweighted,all
5,-0.27404649030523776,0.27202947584556825,-1.0074146908286312,2821,False,firearm_suicide_rate,unweighted,all
-5,0.18527525947879386,0.23120988998465683,0.8013293007971622,2821,False,firearm_suicide_rate,ra,minimal
-4,0.27521681044239854,0.1870068380165478,1.4716938340941588,2821,False,firearm_suicide_rate,ra,minimal
-3,-0.07403151633356309,0.15014306184104442,-0.4930731758483773,2821,False,firearm_suicide_rate,ra,minimal
-2,0.04222973707757146,0.20402016532758208,0.20698805439043677,2821,False,firearm_suicide_rate,ra,minimal
-1,0.0,0.0,0.0,0,True,firearm_suicide_rate,ra,minimal
0,0.0654970836155632,0.20041184574823034,0.3268124365155773,2821,False,firearm_suicide_rate,ra,minimal
1,0.052186632041655336,0.17841702698951703,0.2924980475362454,2821,False,firearm_suicide_rate,ra,minimal
2,-0.1931031323881592,0.10585777002732678,-1.82417532825706,2821,False,firearm_suicide_rate,ra,minimal
3,0.056965219610103174,0.19888829634953561,0.28641815861296244,2821,False,firearm_suicide_rate,ra,minimal
4,-0.5233833185549155,0.27246341289846365,-1.9209306416122731,2821,False,firearm_suicide_rate,ra,minimal
5,-0.11052550507852996,0.2883483222795714,-0.38330552508423715,2821,False,firearm_suicide_rate,ra,minimal
-5,0.292986057262111,0.21079885847971933,1.3898844584601904,2821,False,firearm_suicide_rate,eb,minimal
-4,0.3850249381183144,0.16175639129103295,2.3802765074399783,2821,False,firearm_suicide_rate,eb,minimal
-3,0.052289917325835565,0.1715803801303655,0.3047546420290366,2821,False,firearm_suicide_rate,eb,minimal
-2,0.15493666257911373,0.2081592481750669,0.744317938969535,2821,False,firearm_suicide_rate,eb,minimal
-1,0.0,0.0,0.0,0,True,firearm_suicide_rate,eb,minimal
0,0.02152061516471818,0.19028091329272706,0.11309917948318332,2821,False,firearm_suicide_rate,eb,minimal
1,0.012728991390672894,0.19252827026336755,0.06611492106203608,2821,False,firearm_suicide_rate,eb,minimal
2,-0.2852287912057645,0.14015258767197844,-2.0351303956893836,2821,False,firearm_suicide_rate,eb,minimal
3,-0.06676598713048962,0.20271142661831654,-0.3293646946513907,2821,False,firearm_suicide_rate,eb,minimal
4,-0.6094173988656596,0.2500173295764205,-2.4375006320487262,2821,False,firearm_suicide_rate,eb,minimal
5,-0.27404649030523776,0.27202947584556825,-1.0074146908286312,2821,False,firearm_suicide_rate,eb,minimal
-5,0.292986057262111,0.21079885847971933,1.3898844584601904,2821,False,firearm_suicide_rate,eb,headline
-4,0.3850249381183144,0.16175639129103295,2.3802765074399783,2821,False,firearm_suicide_rate,eb,headline
-3,0.052289917325835565,0.1715803801303655,0.3047546420290366,2821,False,firearm_suicide_rate,eb,headline
-2,0.15493666257911373,0.2081592481750669,0.744317938969535,2821,False,firearm_suicide_rate,eb,headline
-1,0.0,0.0,0.0,0,True,firearm_suicide_rate,eb,headline
0,0.02152061516471818,0.19028091329272706,0.11309917948318332,2821,False,firearm_suicide_rate,eb,headline
1,0.012728991390672894,0.19252827026336755,0.06611492106203608,2821,False,firearm_suicide_rate,eb,headline
2,-0.2852287912057645,0.14015258767197844,-2.0351303956893836,2821,False,firearm_suicide_rate,eb,headline
3,-0.06676598713048962,0.20271142661831654,-0.3293646946513907,2821,False,firearm_suicide_rate,eb,headline
4,-0.6094173988656596,0.2500173295764205,-2.4375006320487262,2821,False,firearm_suicide_rate,eb,headline
5,-0.27404649030523776,0.27202947584556825,-1.0074146908286312,2821,False,firearm_suicide_rate,eb,headline
-5,0.292986057262111,0.21079885847971933,1.3898844584601904,2821,False,firearm_suicide_rate,eb,expanded
-4,0.3850249381183144,0.16175639129103295,2.3802765074399783,2821,False,firearm_suicide_rate,eb,expanded
-3,0.052289917325835565,0.1715803801303655,0.3047546420290366,2821,False,firearm_suicide_rate,eb,expanded
-2,0.15493666257911373,0.2081592481750669,0.744317938969535,2821,False,firearm_suicide_rate,eb,expanded
-1,0.0,0.0,0.0,0,True,firearm_suicide_rate,eb,expanded
0,0.02152061516471818,0.19028091329272706,0.11309917948318332,2821,False,firearm_suicide_rate,eb,expanded
1,0.012728991390672894,0.19252827026336755,0.06611492106203608,2821,False,firearm_suicide_rate,eb,expanded
2,-0.2852287912057645,0.14015258767197844,-2.0351303956893836,2821,False,firearm_suicide_rate,eb,expanded
3,-0.06676598713048962,0.20271142661831654,-0.3293646946513907,2821,False,firearm_suicide_rate,eb,expanded
4,-0.6094173988656596,0.2500173295764205,-2.4375006320487262,2821,False,firearm_suicide_rate,eb,expanded
5,-0.27404649030523776,0.27202947584556825,-1.0074146908286312,2821,False,firearm_suicide_rate,eb,expanded
-5,0.2530186078874322,0.21976193667294674,1.1513304429236924,2821,False,nonfirearm_suicide_rate,unweighted,all
-4,0.5487048608158162,0.24429480367813328,2.246076676844725,2821,False,nonfirearm_suicide_rate,unweighted,all
-3,0.06006518371445098,0.22699901536535538,0.2646054812959252,2821,False,nonfirearm_suicide_rate,unweighted,all
-2,-0.141753789787697,0.13544218412455697,-1.046599999135688,2821,False,nonfirearm_suicide_rate,unweighted,all
-1,0.0,0.0,0.0,0,True,nonfirearm_suicide_rate,unweighted,all
0,0.1101212006978299,0.09495185877751966,1.1597582408139402,2821,False,nonfirearm_suicide_rate,unweighted,all
1,-0.16712405108675918,0.10897758813103733,-1.5335634964301568,2821,False,nonfirearm_suicide_rate,unweighted,all
2,-0.25199913196926654,0.1280824447881869,-1.9674759674208573,2821,False,nonfirearm_suicide_rate,unweighted,all
3,-0.24353387429368883,0.35696020044146753,-0.6822437739347422,2821,False,nonfirearm_suicide_rate,unweighted,all
4,-0.2678939628476685,0.2196740713593067,-1.219506522503931,2821,False,nonfirearm_suicide_rate,unweighted,all
5,-0.4342685436846364,0.2898001148546336,-1.498510598943239,2821,False,nonfirearm_suicide_rate,unweighted,all
-5,0.15205742847033157,0.2110200829727077,0.7205827347248174,2821,False,nonfirearm_suicide_rate,ra,minimal
-4,0.46152731043381895,0.25808912105114223,1.7882478290991737,2821,False,nonfirearm_suicide_rate,ra,minimal
-3,-0.049657743470193354,0.22461079876789417,-0.22108350864068707,2821,False,nonfirearm_suicide_rate,ra,minimal
-2,-0.1995429802261835,0.14160390248581592,-1.4091630013245657,2821,False,nonfirearm_suicide_rate,ra,minimal
-1,0.0,0.0,0.0,0,True,nonfirearm_suicide_rate,ra,minimal
0,0.1086901277359977,0.09689283845598376,1.1217560499620742,2821,False,nonfirearm_suicide_rate,ra,minimal
1,-0.1588737880103423,0.11319266728383442,-1.4035696112007054,2821,False,nonfirearm_suicide_rate,ra,minimal
2,-0.1680539448869404,0.1399894215065837,-1.2004760293908123,2821,False,nonfirearm_suicide_rate,ra,minimal
3,-0.15258410978939754,0.31859169463625003,-0.4789331057848493,2821,False,nonfirearm_suicide_rate,ra,minimal
4,-0.15969957737753424,0.22406890074250216,-0.7127253128316073,2821,False,nonfirearm_suicide_rate,ra,minimal
5,-0.2742437633075825,0.2565240656212516,-1.0690761611134505,2821,False,nonfirearm_suicide_rate,ra,minimal
